Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-121.57503	142.57178	-17.575699	-548.8226	80.56667	189.55011	574.5231	-42.292015	178.45	249.5	3999	3.505712	4.074184	22.18663	-31.943668	3.5051258	4.0796895	22.593294	-33.066006	-3.94327	1.8435316	22.581093	-14.665075	-4.7352443	0.34264046	0.32677704	12.950366258621216
2	-161.79564	211.06154	0.35675254	-565.25696	-130.10657	140.78111	-16.747423	-457.57574	275.46155	355.8	7999	12.8507	6.6681986	42.372246	-36.676388	12.8514185	6.673198	42.167633	-35.61971	-2.4030595	2.4510372	15.8857975	-15.770148	-14.316918	0.78466994	0.7458018	35.6096465587616
3	-166.70464	204.37952	-17.660976	-704.942	79.02754	169.22557	342.01984	-155.30191	219.47368	460.9	11999	25.88715	7.537419	57.439503	-22.744232	25.888353	7.53635	56.58406	-21.420462	-1.8618265	2.6920526	17.631151	-14.964397	-27.337227	1.335854	1.3119948	60.872164249420166
4	-135.1919	145.7404	7.4178643	-460.242	351.0472	300.74625	683.7244	-73.69805	260.375	653.1	15999	29.294853	7.931911	60.046024	-23.814383	29.295498	7.9339805	59.61195	-27.505852	-2.4208775	2.3755019	16.390568	-17.429438	-30.251204	1.599685	1.5569365	89.205890417099
5	-167.75987	138.15837	-5.9851427	-434.31003	376.37003	277.65094	801.20245	-1.79519	451.2	726.7	19999	27.64597	9.151641	58.812546	-31.495531	27.64643	9.154083	59.653393	-32.726242	-2.5072153	2.2270625	17.10985	-15.268829	-28.447998	1.5763894	1.5460372	115.20879173278809
6	-92.9417	81.53443	-1.1780549	-234.57124	632.2783	44.02952	674.5886	513.8078	321.0	1000.0	23999	25.708008	9.751518	58.346638	-30.346025	25.70925	9.754273	58.618404	-32.996765	-2.5240633	2.1341238	15.775351	-15.462599	-26.428503	1.6688403	1.6151476	144.09984707832336
7	-94.38844	32.668484	-42.74833	-124.89387	660.97546	126.6689	864.248	417.3956	788.5	1000.0	27999	24.562124	10.15821	60.712	-30.009953	24.562513	10.159363	59.22448	-31.099848	-2.5624774	2.076939	15.537706	-15.540717	-25.233517	1.4258919	1.3958665	172.17528080940247
8	-33.440296	45.824837	18.54502	-139.30527	639.1548	121.450195	914.642	509.01596	345.07144	1000.0	31999	24.245228	10.3127165	60.360233	-35.802692	24.24516	10.316785	60.307354	-33.49588	-2.5858397	2.0231278	15.307495	-14.875868	-24.87293	1.4263028	1.3823041	200.28454995155334
9	-51.746796	72.77869	5.879962	-209.86711	448.06674	194.14912	677.30194	15.556372	502.375	903.2	35999	23.635252	10.373653	63.958572	-35.58741	23.634855	10.377957	62.70804	-36.247128	-2.6198595	1.9845663	15.94214	-14.710916	-24.21052	1.4070556	1.363427	228.27704286575317
10	23.884785	20.590239	52.31547	-4.397118	742.1605	57.40865	823.9642	644.0215	652.8	1000.0	39999	23.086678	10.393477	61.592323	-35.33611	23.08689	10.396671	61.041813	-37.63528	-2.5861313	1.9662491	13.482936	-15.467382	-23.638023	1.3640054	1.3311648	257.0736594200134
