Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-137.37479	200.71013	2.0552928	-620.7975	-25.937658	223.77316	396.5066	-310.87698	207.10527	901.2	3999	3.493875	3.97285	23.743813	-24.045237	3.4939349	3.9743233	24.609528	-22.923107	-4.048007	1.7914962	33.132523	-14.087984	-4.704068	0.28693083	0.2823259	14.835728406906128
2	-147.61206	159.67871	-2.0409927	-571.04456	-290.87793	336.79828	-27.500252	-969.44006	198.94118	330.9	7999	15.966844	8.274769	59.04311	-22.36078	15.966501	8.275812	58.27016	-22.23433	-1.252558	3.1130428	19.352348	-18.482903	-17.922411	0.9803192	0.97588044	36.977734327316284
3	-136.29047	246.18234	14.06411	-1010.57477	-40.548756	95.17396	177.30513	-185.81752	153.73334	463.5	11999	38.559315	9.668055	89.17957	-16.665924	38.559185	9.66951	87.82541	-19.475931	0.39018098	3.6867497	25.030243	-15.994934	-40.815235	2.6029692	2.5910819	66.86914205551147
4	-107.77876	149.44933	1.5209138	-751.9512	484.8502	332.93604	804.2245	-140.99333	183.09091	830.4	15999	44.01257	9.117127	87.82914	-19.266594	44.011845	9.118721	87.955185	-16.010302	-1.1206579	2.977469	23.995445	-14.825707	-45.19975	3.3454263	3.3422065	102.01979041099548
5	-177.70703	155.6441	4.1243343	-463.9594	451.37094	262.01602	879.9558	2.8816235	449.85715	828.9	19999	38.543907	8.134589	75.62591	-12.175563	38.543552	8.139045	75.484024	-13.910781	-1.6366996	2.5993283	21.937845	-15.960655	-39.441467	2.5109475	2.4972892	136.80465626716614
6	-196.98666	126.334045	-45.231533	-340.28345	509.86505	271.84756	839.435	-8.5599	639.0	829.5	23999	33.143288	7.3493056	68.85357	-14.6819315	33.142704	7.3503795	69.769684	-22.95704	-2.0111156	2.3776462	20.319057	-14.764339	-33.9223	1.8870859	1.9083992	171.25105571746826
7	-66.42097	93.24738	8.66123	-329.01187	525.18134	82.61787	678.18335	376.71002	228.46666	1000.0	27999	28.599642	7.3066387	64.96215	-19.51496	28.599218	7.3034687	64.337006	-15.777357	-2.201011	2.24974	20.834442	-14.602846	-29.290466	1.8900989	1.9184031	206.29681062698364
8	-92.94903	60.198986	-3.8629868	-189.44308	674.69354	70.16015	799.47876	595.1005	673.8333	1000.0	31999	24.783417	7.7299085	59.37545	-19.268873	24.783417	7.7318683	61.60743	-23.459433	-2.216702	2.1757472	14.270867	-16.595085	-25.414488	1.8376853	1.810908	241.33895564079285
9	-80.849724	58.983852	9.314452	-160.21956	592.2725	174.56335	776.2542	222.87946	689.3333	1000.0	35999	22.652977	8.071798	61.7887	-25.599434	22.652725	8.073161	63.052723	-26.41827	-2.238659	2.1567907	15.330046	-16.266047	-23.249027	1.7245047	1.7328737	276.7311749458313
10	-122.60183	119.497826	24.996445	-285.08936	623.2329	118.08443	787.89	353.4688	648.0	1000.0	39999	20.77193	8.456002	52.443436	-35.801876	20.771315	8.455558	52.79102	-43.866142	-2.2248316	2.1125352	17.465961	-14.905819	-21.328156	1.7581542	1.7714509	312.051545381546
