Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-104.073845	185.4575	3.359385	-573.36664	220.73344	176.62228	517.3033	-27.51027	179.95238	718.2	3999	3.4543233	3.5017726	19.283566	-21.68411	3.4541306	3.5034528	18.984447	-22.016357	-4.1671343	1.6569152	19.528152	-13.48625	-4.6180477	0.24790658	0.24171053	10.03868842124939
2	-172.12852	202.04018	-9.597384	-566.1824	-275.8198	369.79724	392.56384	-1038.2303	269.92856	737.5	7999	12.092282	5.639893	39.214394	-18.407055	12.092264	5.6393633	38.99355	-19.352194	-3.151343	2.169032	15.407226	-18.440472	-13.38361	0.4996698	0.5010961	21.589760541915894
3	-141.81625	210.52103	2.366922	-685.08307	105.377335	293.17804	702.50885	-300.01895	230.625	1000.0	11999	23.124062	5.764848	56.491043	-10.494778	23.124132	5.7645373	54.624302	-12.689088	-2.6608229	2.4110374	13.992016	-14.190367	-24.435762	0.8641183	0.85511947	34.20610022544861
4	-145.90071	140.1761	-1.5371513	-387.5025	516.07	231.74991	884.3054	-8.153023	336.0	901.2	15999	27.417673	5.9433393	56.539215	-12.639998	27.418032	5.94595	56.10051	-13.16441	-3.0248537	2.1221607	16.539158	-14.046066	-28.343761	1.0935667	1.0667078	46.853302001953125
5	-124.077324	100.01792	1.1987647	-308.08035	490.9354	310.26227	795.07007	-127.83599	446.1111	1000.0	19999	27.975985	7.856833	64.61535	-15.501075	27.975107	7.861894	66.904526	-16.427979	-2.903925	2.0548444	16.704758	-15.682047	-28.803911	1.1954439	1.1907072	59.701054096221924
6	-254.81354	175.59662	-99.23089	-654.11755	714.015	88.71239	849.4851	555.16223	526.375	1000.0	23999	28.40266	8.662237	64.572105	-20.49759	28.401907	8.665446	64.74058	-19.907108	-2.8423834	2.0312462	16.814354	-16.744617	-29.159008	1.20378	1.1972996	72.60532832145691
7	-227.84428	224.89888	-23.834448	-604.9325	503.73593	230.44235	778.3353	4.2745	1000.0	901.2	27999	28.091782	9.739324	66.57912	-21.156052	28.091677	9.740494	67.98112	-22.22693	-2.75148	2.0095212	14.64585	-15.349817	-28.800068	1.2701459	1.2649564	85.08536767959595
8	-175.33598	82.71182	-88.927315	-307.83185	414.9354	219.64528	800.424	15.503358	620.1667	901.6	31999	27.876343	10.2424555	69.18062	-21.484097	27.87594	10.242696	69.807915	-20.43552	-2.71892	2.026499	13.311919	-15.502644	-28.547188	1.3135005	1.3177148	97.62016034126282
9	-208.28384	163.0677	-74.66388	-526.151	630.3284	148.69551	804.5598	324.28958	851.2	1000.0	35999	27.546906	10.721887	79.949615	-25.848478	27.546442	10.724266	81.35993	-27.392874	-2.6714013	2.064744	13.608635	-14.617996	-28.198204	1.3618386	1.3480482	110.65975451469421
10	-55.812313	82.52205	11.000173	-213.89618	695.0182	179.67293	878.6405	357.80545	557.0	1000.0	39999	27.607685	11.160339	87.70987	-21.908682	27.607908	11.15985	86.74935	-20.993523	-2.600985	2.069423	15.750578	-15.018072	-28.229164	1.4374636	1.4280593	123.56611394882202
