Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-29.77774	27.00903	10.174389	-96.398056	5.557397	48.881092	91.81695	-74.4371	92.139534	185.3	3999	6.1750464	4.8650985	30.145233	-6.7991896	6.1747227	4.8647614	28.994583	-7.339357	-3.897611	1.9706535	44.090363	-13.3000145	-7.373266	0.41187027	0.40725195	7.715453147888184
2	-35.177864	38.559723	21.82404	-129.12839	-27.699102	58.127426	26.897667	-144.59642	96.12195	149.5	7999	21.56101	9.439284	68.51468	-10.270684	21.560812	9.450791	69.80529	-11.0102825	-1.8007044	2.5700953	15.698127	-16.855165	-23.32136	1.458751	1.3705982	16.9688138961792
3	-37.845688	38.54612	16.317291	-175.82144	33.21839	43.94052	86.25195	-39.330746	102.92308	200.0	11999	42.62101	11.501981	88.28298	-10.299486	42.621544	11.511424	90.535835	-14.541126	-0.79113656	2.8928545	21.763329	-17.25179	-44.613083	3.1017997	3.008143	26.717475175857544
4	-35.82572	34.956936	36.35538	-98.40603	53.474	31.718538	106.053154	9.596438	120.333336	181.7	15999	48.68814	13.003451	100.9159	-16.08161	48.687996	13.004942	101.902534	-19.129156	-1.5108111	2.619683	22.231792	-16.121988	-49.8654	3.89339	3.8397198	40.22325325012207
5	-23.541286	34.918163	37.770466	-107.532135	51.967365	45.935852	143.63583	-1.5345165	128.3125	166.2	19999	45.00135	13.827295	103.04758	-25.855583	45.00207	13.829759	103.113686	-18.908869	-1.8030602	2.4656024	19.07241	-14.485554	-45.88866	3.7143462	3.6128461	54.73937511444092
6	-19.356508	26.147312	38.44012	-67.95969	82.22847	47.201336	156.74971	17.828524	147.92592	140.1	23999	40.80077	13.941426	105.47044	-31.630726	40.800934	13.952681	106.31304	-24.548662	-2.0248263	2.3938234	22.397959	-14.812225	-41.572357	3.4342008	3.2821665	73.08753156661987
7	-15.674152	23.473124	37.438652	-66.40322	82.79148	55.755375	162.15363	-27.967587	156.72	200.0	27999	36.884445	13.198442	96.95358	-28.05603	36.884045	13.203665	97.24878	-24.223976	-2.2284763	2.2786534	26.049671	-16.19006	-37.55265	3.1269915	3.0851781	96.26073575019836
8	-7.2021813	34.717422	69.500275	-88.7764	136.59673	26.050697	176.60638	89.6929	145.2963	200.0	31999	32.889317	12.067144	87.29127	-18.813568	32.888577	12.0705	86.34098	-19.27172	-2.4238715	2.159739	21.810448	-15.221556	-33.487812	2.804613	2.7736206	122.99056839942932
9	-4.463604	25.39495	41.900803	-69.95356	137.72432	47.548252	182.3759	11.227898	151.62962	182.5	35999	29.444586	11.148909	78.3755	-21.946962	29.444063	11.155116	80.569466	-21.864708	-2.6021535	2.0610905	19.968843	-14.971191	-30.004917	2.5931475	2.529746	148.87137746810913
10	12.787177	31.716846	82.32421	-55.18658	151.61809	25.420773	191.84006	119.14165	166.25	200.0	39999	27.222416	10.101635	72.55495	-16.454338	27.221758	10.109204	72.479774	-19.118494	-2.6833155	1.9878308	16.745789	-16.107727	-27.769968	2.3997355	2.3414125	175.08507418632507
