Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-26.762623	26.443575	19.615602	-102.068726	-46.01037	29.351057	3.6921022	-82.84791	73.48148	185.7	3999	6.419992	4.7844467	30.082031	-8.695291	6.420212	4.7840347	30.308899	-10.437364	-3.6410007	2.0665948	51.902824	-13.429777	-7.7751107	0.40824243	0.41252926	7.729618787765503
2	-30.849243	28.184954	10.77036	-103.63435	-24.802227	36.811275	35.41611	-98.61406	89.84091	89.1	7999	26.44711	10.607448	69.77969	-12.75422	26.447683	10.605367	71.254845	-14.48217	-0.964484	2.8140502	19.279827	-19.046116	-28.713001	1.729008	1.7451118	16.61379909515381
3	-38.924946	46.433727	8.470995	-179.7615	3.7649932	30.539955	59.255146	-36.672794	96.21429	140.7	11999	52.52003	11.798942	98.96899	-18.891476	52.52061	11.802214	101.82523	-20.702358	-0.012151477	3.1715243	21.17668	-15.802754	-54.943253	4.170137	4.149344	25.93653964996338
4	-48.058582	33.325306	28.02082	-123.336754	70.833565	31.193476	137.6054	26.45629	159.08	200.0	15999	60.425137	13.765018	111.74381	-31.80729	60.42474	13.760514	110.14906	-30.981125	-1.0018172	2.8888607	23.809376	-14.522831	-61.867516	4.8945303	5.020645	37.103257179260254
5	-25.371407	40.462738	57.403187	-122.26762	109.36432	58.85255	190.01053	21.286451	155.07692	182.5	19999	55.40997	16.599287	112.79343	-29.43755	55.40934	16.598614	111.08347	-33.37759	-1.5725502	2.5861807	25.029222	-16.990952	-56.458485	4.540793	4.5744286	60.408947467803955
6	-2.5743244	28.865788	60.00803	-71.41643	139.11102	24.703186	172.36156	82.8056	162.83333	194.9	23999	49.41167	17.369864	108.24338	-35.514324	49.4118	17.365206	109.1322	-34.120228	-1.8697875	2.4508827	26.323694	-13.984871	-50.25125	3.9737258	4.093251	89.1010057926178
7	6.577178	30.469395	61.68164	-72.64643	155.56125	9.547853	168.34283	132.90097	149.55556	200.0	27999	43.526955	16.321901	96.3355	-35.517624	43.527313	16.314852	95.50249	-27.785149	-2.0349436	2.3054166	22.616898	-15.606176	-44.266647	3.5547204	3.6487272	116.33089208602905
8	2.7604837	23.149529	54.73107	-40.646465	145.7364	37.9005	215.82423	61.07048	129.19354	200.0	31999	38.628582	15.097528	90.870186	-29.152233	38.628345	15.098906	91.03989	-26.817757	-2.2231503	2.1867516	21.053148	-15.171815	-39.298695	3.2868977	3.290396	141.51877450942993
9	18.19975	33.82394	128.68379	-24.73755	140.08263	26.712822	179.26086	101.62071	174.60869	200.0	35999	35.194065	13.507221	79.31445	-28.238039	35.19423	13.508095	79.22225	-26.996508	-2.3080769	2.0914268	20.498314	-16.318233	-35.815926	2.9082987	2.9035807	166.95993065834045
10	19.761906	31.540634	83.06312	-45.101597	155.64792	19.014225	177.5524	116.78969	157.52	200.0	39999	32.88096	11.825308	71.27998	-27.41107	32.880898	11.825429	70.21357	-29.979069	-2.3862283	2.0206413	17.500824	-15.276914	-33.479008	2.6286602	2.648109	192.9284508228302
11	38.617485	31.466362	105.623184	-7.9551525	142.62163	25.71072	183.98022	113.765854	155.88461	200.0	43999	31.07328	10.525273	65.36156	-22.858904	31.07294	10.524751	63.5058	-18.017792	-2.4403007	1.9682186	24.463388	-18.115803	-31.64543	2.4828682	2.4721923	218.39318990707397
