Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-93.63768	71.06328	-2.869667	-226.77519	-32.26093	26.745739	-5.7339487	-108.77959	94.97619	182.5	3999	4.6026306	4.3759584	36.946083	-9.388452	4.6023803	4.37708	36.108383	-9.491473	-6.3384237	2.2445874	59.093285	-17.185099	-6.3924985	0.35544628	0.35294428	16.52850842475891
2	-87.44832	62.777676	2.4415536	-224.14482	-94.01864	66.2882	-16.995628	-221.6834	89.906975	124.3	7999	19.827078	9.508635	83.61647	-8.215989	19.827187	9.506555	85.71898	-8.913219	-3.4709508	3.1501265	20.560505	-19.36723	-22.250383	1.2300515	1.2253511	39.9417781829834
3	-101.589485	82.49727	-2.204388	-313.82205	-40.85301	46.088192	1.4177705	-148.80777	87.36957	159.9	11999	39.974495	13.367517	125.008545	-21.408134	39.97465	13.365316	126.15148	-12.261352	-2.3577425	3.5497189	22.227753	-17.958559	-42.555054	3.0394356	3.0562422	67.0542802810669
4	-120.14028	88.9644	-2.753884	-322.50104	-12.897908	49.285923	67.57115	-122.20368	108.054054	200.0	15999	42.404896	15.222249	123.06479	-22.839497	42.40458	15.221337	121.99541	-23.891895	-3.5862937	3.0732646	24.295486	-17.939884	-43.94868	3.9521255	3.945846	95.10085773468018
5	-118.8004	83.11304	-11.688143	-318.151	61.861397	40.54777	115.60272	2.5318065	118.70588	169.6	19999	34.146782	15.045032	108.93825	-18.31912	34.14598	15.044625	107.36496	-17.818605	-4.0919147	2.8241673	22.173164	-17.635065	-35.377026	3.4616294	3.4656022	122.39126658439636
6	-150.33522	59.259384	-25.448704	-260.51212	95.35048	32.53684	150.13472	46.0503	171.43478	200.0	23999	25.24141	13.590563	89.9406	-22.72222	25.241505	13.596183	89.364044	-29.371607	-4.477107	2.6063113	25.731585	-17.507565	-26.348055	2.7397175	2.6646016	150.31776452064514
7	-121.12623	71.69943	-1.030935	-255.2144	71.95974	60.45686	160.51222	-25.394386	153.73077	200.0	27999	18.51863	12.676717	82.24227	-22.254759	18.51745	12.68036	82.42201	-24.5004	-4.8039646	2.4626257	15.917398	-19.021454	-19.556065	2.3629298	2.347152	177.93766069412231
8	-118.639885	60.713013	3.419316	-241.56404	67.34978	60.196297	143.01299	-30.299023	152.66667	200.0	31999	13.883598	11.896988	74.505615	-26.75904	13.883305	11.900433	73.42078	-26.452034	-5.0894895	2.3504834	20.761347	-17.866463	-14.857075	2.1891577	2.1585238	205.580491065979
9	-124.26354	59.060024	-5.296272	-209.75348	83.95022	47.05179	146.17387	7.6563196	148.22223	182.2	35999	10.27593	10.889217	65.491455	-33.287575	10.276362	10.892607	67.80849	-34.815586	-5.3108954	2.2640142	16.812426	-17.360275	-11.22226	2.0733721	2.0312498	232.92892861366272
10	-92.71408	72.27135	-0.93414843	-278.12714	94.450356	30.812021	154.2541	45.080948	121.69697	200.0	39999	7.466062	10.123625	63.356876	-34.351788	7.4669256	10.124953	64.08198	-35.80027	-5.4050183	2.2556589	11.961838	-17.671968	-8.401525	1.9950222	1.9687717	261.0096228122711
11	-105.274345	56.608562	-9.132886	-229.55373	103.76648	52.334606	165.32028	-22.641588	142.64285	200.0	43999	5.6651545	9.480443	59.688366	-35.298496	5.666845	9.480468	62.517265	-39.97501	-5.5272174	2.1905813	10.99188	-17.583126	-6.57087	1.9808404	1.9692601	288.590224981308
12	-110.87159	60.492844	-8.197187	-213.81638	115.09379	35.409615	167.84373	58.116226	153.8	200.0	47999	4.2496395	8.59261	56.446224	-34.110294	4.25087	8.593037	57.54417	-35.037334	-5.651538	2.1151655	14.260864	-18.995731	-5.1418743	1.8869408	1.8759964	315.6819357872009
13	-90.29807	54.085903	0.3304582	-194.70123	70.38643	43.125965	133.4252	-23.604744	145.96428	200.0	51999	3.5891027	8.010587	54.489876	-31.976336	3.590608	8.010049	53.301464	-35.10998	-5.7017713	2.0972867	10.385883	-18.77461	-4.4946785	1.7798357	1.7775425	342.9342517852783
14	-86.20809	59.8416	-0.6191889	-232.49763	110.12244	47.000076	178.31804	18.959846	129.93549	200.0	55999	3.2837038	7.6674323	55.226803	-34.302795	3.284254	7.668347	52.74583	-34.821487	-5.7445474	2.0616705	12.693928	-16.973665	-4.1720943	1.8056414	1.8014694	370.0282635688782
