Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-90.01801	76.531044	-2.418647	-310.62207	-61.358643	83.17781	9.939454	-283.50873	92.39535	172.7	3999	4.901591	4.689103	31.839396	-15.775522	4.902111	4.6888857	31.15465	-16.612595	-6.228618	2.3355713	47.415634	-17.604332	-6.7466207	0.33396837	0.33163103	21.990814447402954
2	-95.03245	71.50376	-5.3589797	-293.91452	-143.05972	70.68306	-18.161892	-277.78665	95.666664	165.8	7999	22.888012	10.608379	77.99193	-16.86118	22.887953	10.606669	77.18505	-16.081667	-3.0730488	3.3598657	18.804007	-19.792927	-25.568094	1.3529954	1.370968	47.63631057739258
3	-110.32898	92.58594	-8.536423	-333.38843	-28.191534	40.572693	30.560343	-97.06096	88.68889	124.4	11999	48.17998	15.885779	115.741714	-21.640245	48.17908	15.883501	114.55593	-20.674675	-1.6393126	3.931973	27.606134	-18.390078	-51.145905	3.6802485	3.7167046	73.09310364723206
4	-138.63164	85.75351	-10.453551	-302.56168	37.523705	49.35758	101.48127	-66.54633	127.129036	183.7	15999	51.668884	18.175875	114.86993	-32.77832	51.66875	18.178867	117.59199	-42.50717	-3.582742	3.175585	32.201393	-18.356876	-53.321835	4.2132616	4.1499324	100.31951475143433
5	-116.37042	83.66945	9.987833	-293.44666	77.01988	39.528263	122.36088	-26.139114	115.70588	200.0	19999	41.108887	16.309803	101.64396	-31.289762	41.109337	16.307344	100.5967	-42.229103	-4.4128513	2.7895093	26.061932	-18.377705	-42.361046	3.4899673	3.522043	127.78718423843384
6	-119.63339	67.55172	-6.100622	-237.3562	53.062855	59.58768	122.42998	-60.28051	141.65517	200.0	23999	30.31309	14.168046	76.5534	-32.50142	30.312002	14.168696	77.34698	-28.347048	-4.7840867	2.5673866	20.057116	-20.79215	-31.458761	2.6705284	2.682434	155.36826395988464
7	-105.72042	59.30786	-2.6769257	-207.11629	119.590164	30.725636	160.15582	60.747692	137.96428	200.0	27999	22.249752	12.426412	62.086338	-26.282341	22.24956	12.424099	63.36804	-27.15454	-5.1985464	2.368223	19.425201	-17.495502	-23.324408	2.0842988	2.107583	182.9250247478485
8	-124.25655	51.08565	-9.82185	-206.05066	95.005226	55.309795	176.8514	4.0403156	165.88	200.0	31999	16.744595	10.799388	53.83546	-31.34854	16.744703	10.798117	53.89231	-32.020138	-5.507416	2.1671734	17.049183	-17.663666	-17.76921	1.8696573	1.8803645	210.30914211273193
9	-105.05517	50.218754	4.742647	-170.01678	123.349	31.839676	157.72368	61.426105	147.1923	200.0	35999	12.829283	9.063317	49.204002	-26.908699	12.829848	9.061951	49.52727	-25.829002	-5.6607656	2.0572095	14.134438	-17.327147	-13.8326	1.6692125	1.6736262	237.38335585594177
10	-86.149635	54.850494	1.3890388	-207.74721	113.1901	53.186165	147.4346	-37.109398	134.83871	200.0	39999	10.303465	7.9587793	44.313488	-25.903912	10.30193	7.962142	43.229675	-26.850857	-5.7547913	1.9894738	18.288998	-17.515753	-11.290623	1.6270286	1.618306	265.0139892101288
