Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-25.707596	4.702535	-16.419468	-35.022892	-16.46294	2.1626303	-13.299802	-20.671635	60.0	60.0	3999	-1.5295879	1.0481797	1.5791537	-5.3908625	1.3096538	0.014327668	6.327972650527954
2	-26.548443	4.3001485	-19.289295	-36.1429	-14.511434	4.905075	-7.6549883	-20.863472	60.0	60.0	7999	-2.6360855	1.4618301	1.5899849	-7.398968	2.2912235	0.03676829	15.188956499099731
3	-19.637983	7.3801517	-8.808604	-35.933857	-13.002787	4.328877	-8.333685	-23.07315	60.0	60.0	11999	-2.4006886	1.5525377	3.2266185	-7.2709727	2.046784	0.03673616	25.809324026107788
4	-12.743629	3.594356	-6.441107	-21.367058	-11.362204	2.5127926	-6.847911	-14.330461	60.0	60.0	15999	-2.0908673	1.6190057	3.364959	-7.5491676	1.814229	0.038218707	38.38341164588928
5	-11.217914	3.3131871	-7.228031	-26.163326	-10.342051	4.4375553	-6.0258784	-18.835846	60.0	60.0	19999	-2.0117452	1.7251565	3.8508947	-7.686548	1.7748684	0.037638687	54.17913484573364
6	-11.5550585	4.0775757	-6.554128	-24.975798	-9.713861	3.489037	-4.000949	-15.287243	60.0	60.0	23999	-2.0115356	1.6407453	2.9990423	-8.195965	1.8065178	0.03657628	70.67895793914795
7	-9.606226	2.088601	-5.8618975	-15.601377	-13.548764	3.6685045	-7.220265	-18.17615	60.0	60.0	27999	-2.1413934	1.6337615	0.98106664	-8.333997	1.9576887	0.040143363	88.33493852615356
8	-10.839789	4.7155986	-5.5534782	-25.463942	-8.122396	3.6244605	-4.5216494	-16.783268	60.0	60.0	31999	-2.0775626	1.638723	1.9258587	-8.350176	1.9033357	0.03896773	105.15960311889648
9	-10.222033	4.002268	-5.624876	-22.869707	-7.484357	2.8354213	-4.7385287	-14.230376	60.0	60.0	35999	-1.9778962	1.6156242	2.312712	-8.602853	1.8168862	0.03675162	122.58966374397278
10	-9.687794	4.2377625	-5.092721	-21.579988	-8.110447	3.8333225	-3.9877894	-18.563032	60.0	60.0	39999	-1.8654883	1.646406	2.5358753	-8.322243	1.7094458	0.034752093	139.93666410446167
11	-10.42596	4.228876	-5.533163	-19.651531	-6.697806	2.2890522	-4.20467	-12.375352	60.0	60.0	43999	-1.776422	1.6280448	3.6693704	-8.322952	1.629914	0.035293404	156.99088215827942
12	-8.978901	2.8767333	-5.216845	-23.788343	-8.039301	3.5510497	-4.163923	-17.77282	60.0	60.0	47999	-1.8190432	1.6581777	2.8857577	-8.93603	1.6848091	0.034546606	174.55564713478088
13	-9.198838	3.5677943	-4.992388	-23.857582	-7.410311	1.3806821	-5.31476	-9.825437	60.0	60.0	51999	-1.7772151	1.6726116	3.1049895	-8.814188	1.6380941	0.03441007	191.743403673172
14	-8.59816	2.2253458	-5.356251	-20.31327	-6.6388025	1.5472671	-4.8254414	-9.869701	60.0	60.0	55999	-1.5856338	1.7169635	1.8751484	-8.559328	1.4537827	0.0333758	208.81431198120117
15	-8.968577	2.519994	-5.446155	-18.720356	-8.432879	3.214335	-4.784494	-14.494	60.0	60.0	59999	-1.566361	1.5962521	1.2660017	-8.897556	1.4409338	0.028627135	226.33788442611694
16	-7.898146	1.5980227	-5.0830226	-14.074844	-6.7360597	1.5331374	-4.126252	-9.928548	60.0	60.0	63999	-1.6241294	1.545591	0.7215144	-8.593155	1.5090504	0.027706997	243.43674302101135
17	-8.389019	2.9939659	-5.4812374	-22.206558	-7.339586	4.453957	-4.190754	-20.23437	60.0	60.0	67999	-1.6688166	1.5296917	1.2933859	-9.031812	1.5594809	0.027795605	261.13189220428467
18	-7.979441	2.7996423	-5.145762	-25.253012	-11.471779	7.806081	-4.1434097	-26.592403	60.0	60.0	71999	-1.6563994	1.5011579	2.9687595	-8.131108	1.5500041	0.027123865	278.0777840614319
19	-9.401227	4.5959983	-4.917428	-27.231447	-7.0390525	3.5077777	-3.6233056	-14.329266	60.0	60.0	75999	-1.5977834	1.5105102	2.5976777	-8.640605	1.4893328	0.029036265	295.04061222076416
20	-8.653676	3.9723651	-4.7588363	-22.866434	-5.557254	1.5676236	-3.5808878	-7.4897676	60.0	60.0	79999	-1.5546488	1.5438138	1.6979858	-8.855823	1.4496592	0.027996616	312.93300700187683
21	-8.46915	2.7490222	-5.153263	-18.586166	-6.9377723	1.770122	-4.963993	-10.547083	60.0	60.0	83999	-1.5242155	1.4928133	1.5407748	-8.166341	1.4232781	0.026906075	330.0508670806885
22	-7.5631533	1.5848198	-4.6647825	-10.759715	-5.7050595	1.6290957	-3.5390623	-7.812762	60.0	60.0	87999	-1.5395156	1.5139667	1.2711725	-8.4743595	1.4428911	0.026444675	347.0623469352722
23	-7.268478	1.7744269	-4.786133	-13.272079	-6.303338	1.3970138	-4.299656	-8.0884695	60.0	60.0	91999	-1.5098233	1.4994376	2.377161	-8.948093	1.413099	0.024830595	363.8280589580536
24	-7.677076	1.7287574	-5.0712743	-14.134241	-5.4561267	1.3596854	-3.7504163	-8.441355	60.0	60.0	95999	-1.4322244	1.5082992	1.7493359	-8.589864	1.3380891	0.02335369	380.813494682312
25	-8.303026	3.6279805	-4.808926	-25.00996	-6.646994	1.0322129	-3.9099236	-7.9834595	60.0	60.0	99999	-1.4130795	1.4793108	1.6774757	-8.637619	1.3220235	0.022585426	398.346684217453
26	-7.1966696	1.4503297	-4.9393654	-10.306367	-5.719053	1.5608699	-3.6430147	-8.030197	60.0	60.0	103999	-1.4088198	1.476998	2.05631	-8.780414	1.3198752	0.022013923	415.1842555999756
27	-7.2064877	1.5309997	-4.98904	-10.519323	-5.989707	3.1644535	-3.4315662	-14.536832	60.0	60.0	107999	-1.395009	1.4782808	2.7453063	-9.252203	1.308013	0.022395615	432.61375522613525
28	-7.3370223	1.8893968	-4.9311843	-16.474129	-5.2530146	1.4324198	-3.8622189	-8.054597	60.0	60.0	111999	-1.3597542	1.4648432	2.3809304	-8.49662	1.2746915	0.0202456	449.70674109458923
29	-6.955596	1.234948	-4.66955	-9.096562	-4.665959	1.2344737	-3.5783327	-7.8399987	60.0	60.0	115999	-1.354008	1.4508189	1.8102268	-8.51778	1.271655	0.019770902	466.64442801475525
30	-7.605964	1.6609907	-4.835938	-12.442461	-6.3611956	3.9057922	-3.4254434	-17.36777	60.0	60.0	119999	-1.3090719	1.4674592	2.7199502	-8.757834	1.2252116	0.018765768	484.630642414093
31	-7.3456707	2.198655	-5.096204	-20.464958	-6.929521	4.3330803	-3.9776876	-19.452923	60.0	60.0	123999	-1.2714256	1.4308641	3.0694098	-7.9850197	1.190915	0.018048609	501.55872654914856
32	-7.377548	2.277272	-4.9220085	-22.354694	-5.7965536	1.4460996	-3.5604572	-8.309628	60.0	60.0	127999	-1.2747871	1.4325504	4.0276575	-8.269296	1.1957241	0.018342175	518.8273229598999
33	-8.652352	3.2622669	-4.9437003	-18.99257	-7.6711416	1.6649446	-5.695348	-10.673969	60.0	60.0	131999	-1.1848874	1.4476507	3.7478795	-8.161435	1.0975896	0.018421683	536.5194449424744
34	-7.536213	1.5603417	-5.280274	-10.167042	-5.011123	1.2704802	-3.6586664	-7.199176	60.0	60.0	135999	-1.1233996	1.4445944	3.7858632	-8.409914	1.043823	0.018862661	553.607568025589
35	-7.59224	1.7695099	-4.604202	-12.875677	-6.100819	1.4345839	-3.5838544	-7.351574	60.0	60.0	139999	-1.2017035	1.411835	2.3829963	-8.33922	1.1230394	0.018485835	571.1431522369385
36	-8.984207	4.1186795	-4.955011	-25.10729	-5.459673	1.3199795	-3.777857	-7.496956	60.0	60.0	143999	-1.2081754	1.4101285	2.332615	-8.216259	1.1303322	0.01969599	588.3429019451141
37	-7.086888	1.8663293	-4.902015	-15.768529	-5.1185255	1.4636335	-3.4094112	-7.2092776	60.0	60.0	147999	-1.2477103	1.4360679	4.9302993	-8.209686	1.1729729	0.018813323	605.4257073402405
38	-7.5848517	3.411921	-4.9170094	-30.96	-7.4830465	6.671055	-3.613071	-27.158949	60.0	60.0	151999	-1.2238213	1.4063091	7.408189	-8.462745	1.1480532	0.019107906	623.1860644817352
39	-8.59556	2.9636574	-4.8910546	-21.135786	-8.476146	3.6778722	-3.85349	-15.696282	60.0	60.0	155999	-1.174326	1.4261719	3.8033383	-8.809006	1.0921053	0.018290728	639.2499148845673
40	-8.442425	2.7306254	-5.1097302	-17.072535	-6.4718084	1.9029554	-3.9408817	-9.255361	60.0	60.0	159999	-1.0460107	1.4319394	1.5019616	-8.653145	0.9694347	0.01785794	657.1927449703217
41	-7.7658644	1.516976	-5.2707834	-11.901367	-4.745063	1.1368673	-3.5561812	-6.974936	60.0	60.0	163999	-1.1603427	1.4234873	0.42803943	-9.092251	1.0879719	0.018578632	674.4190418720245
42	-7.3983603	1.5628984	-4.7337246	-12.84073	-6.1038184	1.1059452	-4.6527247	-7.980039	60.0	60.0	167999	-1.1881483	1.4190308	3.9494247	-8.725834	1.1169777	0.01783366	691.5078463554382
43	-7.199322	1.4240606	-5.2137065	-9.625698	-5.249656	1.5275276	-3.8574543	-8.082379	60.0	60.0	171999	-1.190206	1.4082452	1.195969	-8.669876	1.1206632	0.017691357	709.244154214859
44	-7.370646	2.7713912	-5.0488095	-20.67222	-5.8817253	1.3216043	-3.4975953	-7.6240587	60.0	60.0	175999	-1.1938078	1.4020346	2.429194	-8.806516	1.1217921	0.016639339	726.2906839847565
45	-7.470675	1.911163	-4.8375583	-14.793028	-5.161584	1.203765	-3.3605356	-6.6944027	60.0	60.0	179999	-1.1601021	1.3772427	2.3527162	-8.966888	1.087219	0.017593198	743.4045586585999
