Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-28.04226	4.3997173	-17.198935	-40.593422	-13.797842	3.893836	-6.2566667	-19.254438	30.0	30.0	3999	-3.3790078	1.716373	1.8234199	-9.9537	2.8961954	0.16904445	4.347340106964111
2	-27.310946	4.9593596	-16.183592	-38.42945	-9.52866	3.8087566	-5.161057	-17.50444	30.0	30.0	7999	-3.8368118	2.0198152	4.297509	-11.002779	3.0424798	0.21764475	9.862339496612549
3	-20.01592	8.206276	-7.568482	-40.176693	-9.1369915	2.2012146	-5.8007584	-13.017385	30.0	30.0	11999	-2.4198909	2.3223765	7.5850105	-10.236884	1.5932546	0.18508478	17.162158966064453
4	-12.396024	2.9399529	-6.382355	-21.434212	-9.471189	1.2353208	-7.9086566	-11.423359	30.0	30.0	15999	-2.3086562	2.2378407	6.0674286	-10.320613	1.7214612	0.15338199	25.609122276306152
5	-11.31676	3.1066813	-5.1309595	-23.58117	-8.0380535	3.619165	-5.0664725	-16.490313	30.0	30.0	19999	-2.9383779	2.073041	2.0503523	-10.960187	2.469214	0.15360366	36.33476972579956
6	-10.385338	3.322857	-3.6616642	-22.582947	-11.345576	4.620367	-5.4907126	-21.37404	30.0	30.0	23999	-2.991354	2.0314474	2.4390442	-11.391597	2.5706913	0.15124936	49.688936948776245
7	-12.42253	5.768009	-5.0290346	-31.948172	-10.850603	7.787521	-5.097375	-32.064484	30.0	30.0	27999	-2.7246907	2.0056384	4.6791964	-11.854835	2.3224764	0.1385451	63.42849159240723
8	-10.315029	3.387383	-4.9501076	-23.728157	-6.696555	1.5906984	-3.9730577	-9.287462	30.0	30.0	31999	-2.4219656	2.063661	3.1820283	-10.9363785	2.0548725	0.12607333	77.22318506240845
9	-9.47753	2.7952957	-4.201393	-20.885094	-7.5862093	2.323605	-3.6927307	-11.308359	30.0	30.0	35999	-2.4630342	1.9819193	3.0233574	-11.3954735	2.1303031	0.11762604	94.94700217247009
10	-9.382298	4.010814	-3.797046	-28.211145	-5.783409	2.252916	-1.9015577	-9.518625	30.0	30.0	39999	-2.3858366	1.9447759	1.8275317	-11.25515	2.0769627	0.108763926	116.5003411769867
11	-8.406213	2.3232834	-3.454229	-17.100431	-5.907829	2.4129767	-2.3456721	-9.824455	30.0	30.0	43999	-2.4075835	1.9404583	4.9356284	-11.625425	2.1205611	0.10744433	139.42459201812744
12	-8.968748	2.9025025	-4.0876217	-18.389887	-5.843802	2.261718	-2.586053	-10.652197	30.0	30.0	47999	-2.3369844	1.9163154	1.5850952	-11.202768	2.0633214	0.09926295	163.05701088905334
13	-8.452837	2.371581	-3.7128313	-13.894119	-6.2994437	2.2268298	-2.945485	-9.8050165	30.0	30.0	51999	-2.2623358	1.8733873	3.1926136	-11.159529	2.0016549	0.09234618	185.95102500915527
14	-9.012822	2.6217282	-4.8772273	-18.224924	-5.1391015	2.4034352	-2.070409	-11.170878	30.0	30.0	55999	-2.2104278	1.835397	4.8347387	-11.2680855	1.9656775	0.09030013	209.5243136882782
15	-8.351721	2.2862742	-4.004863	-17.57593	-5.8796496	2.7094522	-1.9258878	-9.767747	30.0	30.0	59999	-2.13695	1.8235061	3.3279529	-11.527452	1.8978415	0.08168125	232.1184434890747
16	-8.683498	3.0477786	-3.7419643	-23.511473	-7.772641	4.0821433	-3.8690383	-18.433874	30.0	30.0	63999	-2.0329227	1.8118174	2.7331624	-11.187263	1.7994026	0.07721852	255.3460557460785
17	-8.574237	3.0886343	-4.63918	-27.183487	-6.801993	1.6797774	-3.2964258	-9.373423	30.0	30.0	67999	-1.9332296	1.7795532	2.9510674	-11.161236	1.7072121	0.07210114	278.61039781570435
