Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-25.575089	3.9592085	-15.891857	-35.70098	-16.026936	2.369196	-11.243338	-18.686005	30.0	30.0	3999	-2.8542721	1.6013472	1.7832309	-9.320197	2.3868446	0.11153484	6.753212928771973
2	-25.807545	3.9295523	-16.753483	-37.96389	-13.49621	2.0498688	-9.306433	-16.484703	30.0	30.0	7999	-3.6772075	1.653956	4.606137	-9.53969	2.9711442	0.16789924	15.109955549240112
3	-18.860378	7.132252	-7.180284	-32.73662	-7.7712774	2.2784092	-5.1886587	-13.161255	30.0	30.0	11999	-2.5956023	1.9389919	6.554927	-9.294853	1.8476614	0.14404048	26.189086437225342
4	-10.3313055	2.6039877	-5.9893746	-17.9494	-8.869374	3.6186523	-5.1520667	-17.053602	30.0	30.0	15999	-1.9955426	2.0174267	4.792001	-8.472517	1.4471936	0.10979022	37.88474369049072
5	-10.562964	3.131935	-5.556434	-22.443836	-7.6918516	1.7998849	-5.283141	-10.046012	30.0	30.0	19999	-2.5241714	1.9625764	1.7197666	-9.060452	2.0934165	0.10206181	53.53357458114624
6	-9.695196	2.7394772	-5.955054	-31.150826	-6.7044754	1.6353247	-3.8914337	-8.819298	30.0	30.0	23999	-2.5282466	1.9962188	1.2457656	-9.863699	2.146963	0.08809216	71.87589168548584
7	-10.439523	4.4882483	-5.3691416	-29.626644	-7.6318727	3.0161402	-5.3439384	-16.432272	30.0	30.0	27999	-2.4403098	1.9258214	2.0694861	-10.293178	2.1033134	0.08510958	89.39441990852356
8	-9.861248	2.6251016	-5.3026257	-19.509201	-6.9440393	2.5742164	-4.327693	-10.996399	30.0	30.0	31999	-2.419111	1.9403625	2.2825127	-11.263582	2.1066387	0.08642411	107.15757989883423
9	-8.691399	2.6052098	-5.0802703	-19.366732	-7.1840124	2.4720886	-4.1587877	-11.232975	30.0	30.0	35999	-2.307574	1.903603	2.123933	-10.717758	2.0165992	0.07746307	124.45072388648987
10	-8.795829	3.3621216	-5.333945	-27.071417	-8.513024	4.1038136	-4.2401433	-15.265055	30.0	30.0	39999	-2.191932	1.8659105	1.3597661	-10.072769	1.9200727	0.070069425	141.93797826766968
11	-8.057893	1.8861978	-5.027218	-17.576393	-6.2577763	1.3935126	-4.2658806	-8.88861	30.0	30.0	43999	-2.113213	1.8601096	1.7019715	-10.512135	1.8583071	0.06636971	159.8613612651825
12	-8.030647	1.7632995	-5.0807414	-17.201084	-5.9090724	1.8269987	-3.558602	-10.381402	30.0	30.0	47999	-1.9942822	1.8537925	2.4991655	-9.912083	1.7508156	0.06181933	176.99326300621033
13	-8.172967	1.9962133	-5.5456276	-17.256023	-5.5074697	1.7489278	-3.4514234	-8.191169	30.0	30.0	51999	-1.9309212	1.7957826	1.1729674	-9.569272	1.701805	0.05338562	194.33748245239258
14	-7.829418	1.6892302	-5.3423953	-14.295116	-6.2791405	1.4336551	-3.7283905	-8.804374	30.0	30.0	55999	-1.8667091	1.7756342	2.14995	-9.952064	1.6469247	0.05050349	212.15980529785156
15	-7.7904143	1.7151204	-5.1101437	-14.26775	-5.482204	1.3045988	-3.6884859	-7.912026	30.0	30.0	59999	-1.8151808	1.7490754	3.4962192	-9.299439	1.6055561	0.04801794	229.34346675872803
16	-7.8225822	1.7448721	-5.155104	-14.760702	-6.467027	1.7695181	-3.7031302	-9.152772	30.0	30.0	63999	-1.770247	1.7168158	5.9932547	-9.542555	1.5674664	0.045494508	247.05046963691711
