Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-26.36802	4.9126005	-17.290312	-36.710545	-18.129192	5.951655	-7.5170774	-26.272554	120.0	120.0	3999	-0.8218292	0.59651077	0.9535645	-3.430233	0.72008383	0.0032280397	7.580029249191284
2	-26.306602	5.2584195	-17.078424	-39.126022	-14.903902	3.4090598	-10.076265	-19.04422	120.0	120.0	7999	-1.7160048	0.95410466	1.7651237	-5.4038033	1.5544814	0.0062736054	17.38544535636902
3	-21.406223	8.827089	-7.8388424	-38.66586	-13.684224	4.8781	-6.62797	-20.367777	120.0	120.0	11999	-1.8559878	1.3390653	1.765264	-6.5786138	1.6897522	0.008778643	28.512192249298096
4	-13.634281	5.224583	-5.293955	-25.293741	-14.038646	3.4413016	-8.511767	-19.685602	120.0	120.0	15999	-1.7722064	1.5114975	1.8544247	-7.8860474	1.6347227	0.009390962	42.20352220535278
5	-14.4372425	5.8695025	-5.6751676	-29.582314	-10.796072	5.4397955	-4.826697	-20.088482	120.0	120.0	19999	-1.7849578	1.4937406	1.0540336	-7.8443866	1.6650485	0.011150162	56.18145513534546
6	-13.052426	5.9914255	-5.559881	-28.361197	-13.171448	5.11247	-8.568226	-24.519041	120.0	120.0	23999	-1.8514196	1.4789433	1.0261056	-7.773275	1.7448564	0.0138771515	70.2072012424469
7	-11.397808	3.517879	-6.950414	-23.042995	-10.06555	3.9674077	-5.4388623	-20.38257	120.0	120.0	27999	-1.8600318	1.4898708	0.8682066	-7.8307295	1.7614994	0.014631486	84.30787014961243
8	-12.059774	5.0918	-4.7232285	-22.802547	-11.01034	5.321756	-5.2419286	-22.973238	120.0	120.0	31999	-1.7783722	1.450501	1.331847	-8.104395	1.6830698	0.013854933	98.35524535179138
9	-14.7255	7.2374353	-6.4576373	-33.63669	-12.067744	7.001944	-5.7817016	-30.863913	120.0	120.0	35999	-1.7239578	1.4657487	2.7656243	-8.005755	1.6319482	0.014118467	112.43623638153076
10	-12.463004	6.568282	-4.4617696	-35.066513	-9.03676	4.669408	-3.3693593	-18.886728	120.0	120.0	39999	-1.6952564	1.4917856	2.6848583	-9.002523	1.6074871	0.016472664	126.62554788589478
11	-11.249993	5.396584	-6.3199043	-33.219017	-9.355459	3.0640461	-4.853833	-15.151691	120.0	120.0	43999	-1.6775473	1.4769971	2.4215379	-9.098012	1.5948315	0.01575115	140.66063404083252
12	-11.697085	5.1697297	-4.9543285	-27.820341	-10.801914	8.143692	-3.801407	-34.210907	120.0	120.0	47999	-1.6877131	1.4271284	1.28801	-8.47796	1.6078398	0.015995204	154.79425477981567
13	-12.704806	5.907768	-5.525759	-36.738914	-7.0884194	1.7974806	-3.1436305	-9.332308	120.0	120.0	51999	-1.6915305	1.436787	1.5625327	-7.982274	1.6144927	0.016251458	168.8086748123169
14	-11.8347225	4.4384604	-4.4515605	-20.388426	-6.76711	1.9686666	-3.9911997	-11.328785	120.0	120.0	55999	-1.7282553	1.5139086	1.1988399	-9.453196	1.655186	0.018246328	182.89484286308289
15	-11.07067	5.0613146	-5.030532	-23.359852	-9.476206	2.346137	-5.567692	-14.004522	120.0	120.0	59999	-1.7118748	1.4901974	1.0184852	-9.556057	1.6389095	0.019404497	197.07591772079468
16	-10.584339	3.4824855	-5.121982	-18.983227	-10.84296	6.151578	-4.239453	-21.748133	120.0	120.0	63999	-1.6956868	1.418421	2.252472	-8.724673	1.6245581	0.018377146	211.13035559654236
17	-9.624831	3.605965	-5.1727204	-20.523327	-9.710456	1.8061565	-5.4877257	-11.810774	120.0	120.0	67999	-1.6773931	1.417261	1.316796	-8.591219	1.6082836	0.019141255	224.87401294708252
18	-10.264612	4.8118734	-5.118494	-26.16398	-7.825447	4.1292586	-3.637408	-18.980633	120.0	120.0	71999	-1.6375258	1.3980912	0.676713	-9.272967	1.5696069	0.017290043	238.5671079158783
19	-10.171601	4.6391025	-4.746883	-22.70722	-10.5998125	2.8511236	-7.531091	-16.179304	120.0	120.0	75999	-1.6245521	1.3896422	0.97872263	-10.381029	1.5612197	0.018191326	252.2864637374878
20	-9.632827	3.1818485	-4.6323156	-20.863026	-7.149623	1.504088	-4.8912315	-10.313081	120.0	120.0	79999	-1.6256813	1.3939435	0.9336323	-9.878681	1.5622717	0.01719034	266.19647216796875
21	-8.5006	3.666162	-4.5056577	-18.900055	-7.9042997	2.957778	-3.872994	-12.889336	120.0	120.0	83999	-1.5997056	1.3749644	0.9170541	-10.170006	1.5372814	0.017848445	279.9108090400696
22	-11.378811	6.276893	-4.8766227	-28.497227	-8.393614	2.3856232	-6.221284	-13.8123665	120.0	120.0	87999	-1.5850592	1.3327439	1.7987988	-9.84711	1.5241085	0.01724234	293.63062739372253
23	-11.725231	7.818846	-3.8987064	-38.475613	-12.770202	7.5832987	-3.5427477	-32.958782	120.0	120.0	91999	-1.5956755	1.336406	1.9977909	-9.48975	1.5359741	0.016365863	307.38349318504333
24	-11.667966	4.584295	-4.735407	-26.00629	-10.019896	4.266316	-3.5342293	-16.393436	120.0	120.0	95999	-1.5145357	1.4630891	2.2069705	-8.976874	1.446689	0.01902929	321.0911741256714
25	-10.81338	3.686105	-4.430165	-20.862429	-8.681146	2.571884	-6.070352	-13.71352	120.0	120.0	99999	-1.3886343	1.5378975	2.5139952	-8.434403	1.3234407	0.018828891	334.87802147865295
26	-9.617203	2.4952865	-5.312608	-14.699027	-8.791143	2.5669494	-6.2132792	-14.76303	120.0	120.0	103999	-1.3580208	1.4593267	1.2212456	-8.511512	1.2976282	0.01725782	348.39553666114807
27	-9.733957	2.1368473	-5.9231186	-15.0015955	-7.22427	2.556865	-4.422247	-11.033298	120.0	120.0	107999	-1.3985312	1.3779429	2.1936398	-8.491945	1.3407053	0.016320782	362.11099648475647
28	-9.4445715	3.2057657	-4.7782097	-18.788977	-6.9004045	1.5970958	-3.5751133	-9.157126	120.0	120.0	111999	-1.4624857	1.3167381	1.8052825	-9.047688	1.4085982	0.016011884	375.8134765625
29	-9.170578	3.2760136	-3.6237514	-16.00565	-7.7647614	4.0409665	-3.1725066	-15.803049	120.0	120.0	115999	-1.5290831	1.3138108	2.619459	-10.38049	1.4764483	0.0166308	389.5327386856079
30	-7.5666556	2.088563	-3.6437907	-12.106094	-5.746234	1.5736239	-3.6552882	-8.51125	120.0	120.0	119999	-1.5277461	1.3382149	2.8672667	-8.978872	1.472573	0.017141368	403.4069776535034
31	-8.936038	2.1937017	-5.4636436	-13.887683	-7.074347	2.2125502	-2.293246	-9.654634	120.0	120.0	123999	-1.4825004	1.3084704	3.302102	-9.508581	1.4287814	0.01680106	417.1233594417572
32	-8.81409	4.799168	-4.2877955	-29.263569	-8.223587	2.836311	-4.29426	-11.881864	120.0	120.0	127999	-1.4665173	1.2690341	3.8624492	-8.945242	1.4136765	0.01608619	430.73329615592957
33	-9.401504	3.5571313	-4.0427895	-18.394033	-6.077237	2.7368605	-1.9952757	-9.895574	120.0	120.0	131999	-1.4524587	1.3170686	2.9963305	-8.651173	1.3998982	0.015635561	444.4908854961395
34	-8.551568	1.8710837	-4.781111	-12.565787	-7.908104	3.1603394	-2.8335392	-12.045609	120.0	120.0	135999	-1.4777136	1.3223813	1.8437641	-9.036614	1.428272	0.016901856	458.1824254989624
35	-8.729546	2.420924	-5.1425824	-14.120804	-6.695798	2.0100725	-4.033644	-10.174078	120.0	120.0	139999	-1.4977893	1.3243691	0.7669254	-9.099497	1.4485608	0.016512904	472.00956749916077
36	-8.071719	2.6438706	-4.590561	-13.642952	-7.2350235	1.9418991	-3.418184	-9.551083	120.0	120.0	143999	-1.4969516	1.320504	0.58458006	-9.32889	1.4491968	0.015312321	485.55488443374634
37	-7.948612	2.093531	-5.094846	-13.050941	-6.6464386	1.529725	-3.8019433	-9.562799	120.0	120.0	147999	-1.4945898	1.319791	0.60203123	-8.5456915	1.4478405	0.016804961	499.3066897392273
38	-7.8975396	2.2197177	-4.1140947	-13.833503	-5.6504564	1.9688148	-2.5688474	-9.831126	120.0	120.0	151999	-1.501243	1.2894359	0.4484868	-8.685503	1.4546543	0.01683139	512.8954055309296
39	-8.581556	2.6080656	-4.9100933	-19.547155	-6.036063	2.5292244	-2.4415963	-10.205796	120.0	120.0	155999	-1.4892689	1.2847801	0.6936805	-8.882104	1.442624	0.016558617	526.5918273925781
