Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-27.975708	4.9296784	-19.292204	-38.069405	-20.596464	4.6012917	-15.365374	-30.134443	120.0	120.0	3999	-0.91123885	0.6914311	1.163326	-3.5815907	0.80970114	0.0033364792	9.832455158233643
2	-26.707586	6.153722	-14.777388	-41.63834	-17.02183	3.731909	-10.15768	-22.256453	120.0	120.0	7999	-1.7965809	1.1077604	1.5976651	-5.646892	1.6246057	0.0063565867	22.833067178726196
3	-23.620472	8.317355	-8.378546	-38.34191	-17.513107	8.878625	-4.337974	-29.601122	120.0	120.0	11999	-1.9188303	1.4294901	3.319838	-6.651136	1.7441838	0.009380049	36.60864520072937
4	-15.554524	5.602486	-6.9639997	-26.946844	-12.618971	6.7723956	-4.497019	-24.990978	120.0	120.0	15999	-1.8154869	1.6435173	3.1682189	-6.8367405	1.6666672	0.011646484	50.636932134628296
5	-14.1306505	6.2327704	-5.898354	-32.011234	-12.659096	6.065388	-4.4858274	-25.643927	120.0	120.0	19999	-1.7881552	1.6561034	2.8438723	-7.2363744	1.6603526	0.014625562	64.6593427658081
6	-11.545566	4.6060185	-4.672232	-24.59889	-10.256927	3.6077015	-7.1241965	-17.695795	120.0	120.0	23999	-1.773812	1.6819456	2.2764373	-8.146432	1.6570125	0.016927857	78.6715977191925
7	-12.616409	5.536678	-4.4612455	-28.338436	-10.688074	3.761514	-5.5387125	-15.826435	120.0	120.0	27999	-1.6820104	1.6025621	1.8594484	-7.7958827	1.5719044	0.016079336	92.60091400146484
8	-12.523677	5.0376096	-4.2143264	-31.779335	-10.053663	3.935219	-3.9891965	-18.48931	120.0	120.0	31999	-1.6748617	1.514719	1.2908992	-7.848532	1.5765326	0.016308963	106.42972350120544
9	-10.6669	4.91352	-5.1343946	-27.840994	-13.859698	8.135382	-3.8251214	-27.657354	120.0	120.0	35999	-1.7167841	1.4974667	1.0397301	-7.653201	1.6258157	0.015809456	120.33811736106873
10	-14.090646	7.338605	-5.2578855	-32.57149	-11.8351145	6.2718062	-5.942649	-29.410452	120.0	120.0	39999	-1.7382249	1.4871818	1.9102665	-8.002766	1.6494898	0.01718423	134.46090364456177
