Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-26.39188	4.4933143	-16.133642	-39.293003	-17.94987	4.4849453	-8.535085	-24.345446	15.0	15.0	3999	-5.716892	2.4589028	2.532194	-15.489396	4.9388375	1.0329516	13.545384407043457
2	-26.985594	4.1550794	-15.391945	-39.027073	-14.80399	4.8528275	-7.354537	-26.365047	15.0	15.0	7999	-6.798192	2.3558803	1.2491497	-15.291123	5.542669	1.1363386	31.101352214813232
3	-20.948921	6.997818	-5.2363563	-37.264744	-10.434526	5.57978	-5.7183905	-24.298985	15.0	15.0	11999	-5.877299	2.3384337	2.3209953	-14.789303	4.6246305	0.87869495	51.369561195373535
4	-14.178693	4.46811	-5.2431674	-32.119865	-10.1978035	2.6787212	-5.979928	-15.233482	15.0	15.0	15999	-5.873954	2.4622402	2.70548	-15.4134	4.875296	0.9509525	70.93072652816772
5	-13.005814	4.3942666	-5.284579	-29.500866	-8.946896	3.3009682	-3.0023363	-14.195634	15.0	15.0	19999	-5.15894	2.5795157	1.8511581	-15.816323	4.2220683	0.77605736	91.40180277824402
6	-11.708083	3.8664901	-4.1795588	-26.713818	-7.6103334	2.5648966	-3.0529768	-10.860786	15.0	15.0	23999	-4.4671736	2.6335323	2.8309672	-14.96994	3.5992393	0.61198837	112.1796190738678
7	-10.358855	2.6717055	-4.6510615	-18.156668	-6.706697	1.9641062	-2.8327053	-9.143006	15.0	15.0	27999	-4.0455723	2.5743291	3.2273455	-14.763515	3.2652433	0.4852313	131.9670124053955
8	-10.490708	2.4897928	-4.9751315	-16.676691	-4.962462	1.9843737	-2.080797	-8.498197	15.0	15.0	31999	-3.7839034	2.5084383	1.192304	-14.895924	3.0780683	0.39776576	152.29602360725403
9	-10.075887	2.7084453	-4.5409236	-22.899204	-6.3461046	2.732613	-3.212167	-11.759062	15.0	15.0	35999	-3.52294	2.4674466	1.7761807	-14.103908	2.855052	0.3445022	172.75090742111206
10	-9.790307	2.362443	-4.482069	-16.136051	-6.8374534	2.3305113	-3.0181057	-10.770261	15.0	15.0	39999	-3.3631265	2.411882	1.4765767	-13.963941	2.7418745	0.30902082	193.42603302001953
11	-10.075122	2.6772213	-4.1378255	-21.477945	-7.4710855	2.3734896	-2.8148475	-10.691417	15.0	15.0	43999	-3.2535686	2.3697267	2.459715	-14.005288	2.6667876	0.2862349	214.14965224266052
12	-9.931543	2.7061958	-4.3151765	-21.206877	-6.3686914	1.8930017	-3.795598	-10.486414	15.0	15.0	47999	-3.1327674	2.347248	2.9135456	-14.068438	2.577381	0.26451477	234.850200176239
13	-9.810529	2.6383257	-4.4627895	-18.008133	-5.800731	1.8851885	-4.334651	-10.291214	15.0	15.0	51999	-3.057638	2.3227277	1.7003276	-13.866694	2.5260777	0.25253382	255.3862545490265
14	-9.811007	3.0510926	-4.7327156	-26.443296	-6.2216663	1.9615313	-3.4192967	-10.300045	15.0	15.0	55999	-2.9827971	2.2986598	1.7938842	-13.604938	2.4725206	0.23933563	275.947909116745
15	-9.787725	2.3668277	-5.065854	-20.416119	-6.372892	2.2329142	-3.054313	-10.071395	15.0	15.0	59999	-2.9458816	2.2999008	1.3020334	-14.320108	2.4528282	0.23623754	296.7079818248749
16	-10.022228	2.78455	-4.434074	-28.225769	-6.4295297	1.9664656	-3.5863295	-9.000013	15.0	15.0	63999	-2.8476264	2.2576363	2.7887402	-13.75479	2.3726025	0.21795683	316.6939477920532
17	-9.752763	2.540257	-5.0074553	-20.008379	-6.2320776	2.305725	-3.2335505	-10.974367	15.0	15.0	67999	-2.8153389	2.2272162	1.553011	-14.27937	2.3565478	0.21395737	336.88489961624146
18	-9.710252	2.6346498	-4.1124525	-23.969755	-6.895102	2.0987592	-2.8340254	-9.663443	15.0	15.0	71999	-2.7838223	2.197114	1.2668598	-13.9434595	2.337825	0.2051347	355.9362199306488
19	-9.648787	2.3477714	-4.800416	-15.523216	-6.696472	1.6348614	-4.021037	-8.915946	15.0	15.0	75999	-2.743935	2.1862235	2.0866606	-14.771065	2.3082924	0.2021629	374.917724609375
20	-9.625335	2.574247	-4.099274	-20.90855	-6.971345	2.7252624	-2.100501	-10.860389	15.0	15.0	79999	-2.721073	2.1745458	1.9272882	-14.203302	2.3001933	0.19677804	393.9670341014862
21	-9.600178	2.3429396	-4.88302	-16.740414	-6.1523623	2.596653	-2.309158	-10.457898	15.0	15.0	83999	-2.6751344	2.157873	1.7774193	-13.963957	2.2606173	0.19235414	412.7021794319153
22	-9.61056	2.7584333	-4.385612	-27.726686	-6.8515906	1.443253	-3.701721	-8.19187	15.0	15.0	87999	-2.6122274	2.1537929	3.084742	-14.230374	2.2025688	0.18248633	431.1927845478058
23	-9.378227	2.31184	-4.7747054	-16.040388	-5.3150053	1.6393616	-2.4024763	-8.510407	15.0	15.0	91999	-2.615945	2.1223454	2.6250916	-14.367335	2.2187648	0.17870075	449.7579917907715
24	-9.611361	2.3712835	-4.9211845	-15.717167	-7.7659006	2.2912102	-3.842321	-10.907613	15.0	15.0	95999	-2.60155	2.109533	2.1835268	-14.31241	2.212023	0.1754236	468.37579703330994
25	-9.380992	2.3837287	-4.5539865	-14.95034	-5.14793	1.730418	-2.0753005	-8.903911	15.0	15.0	99999	-2.5455513	2.0981286	2.216499	-14.525049	2.1599624	0.16777073	486.92231154441833
26	-9.694642	2.3368635	-4.2080503	-14.984032	-6.046114	2.5028505	-1.8433543	-10.8747	15.0	15.0	103999	-2.4992766	2.072696	5.10758	-14.001915	2.1190743	0.15941672	505.62356877326965
27	-9.688293	2.5723827	-4.4335103	-21.03447	-6.1789236	1.9783019	-3.3937757	-8.743233	15.0	15.0	107999	-2.4960039	2.0668194	3.9774802	-14.095485	2.126079	0.16073336	524.2387552261353
28	-9.418112	2.2617154	-4.6097665	-15.221334	-6.43414	1.8487966	-3.1131403	-9.053776	15.0	15.0	111999	-2.4785652	2.0612733	1.6861901	-14.160543	2.112218	0.15721151	542.751800775528
29	-9.447304	2.4901073	-3.2796466	-15.33392	-6.716031	1.417822	-4.0582957	-8.894599	15.0	15.0	115999	-2.4260378	2.0374131	2.813273	-14.293594	2.0606158	0.14984916	561.2523231506348
30	-9.666414	2.43086	-4.6815534	-18.908998	-5.540122	2.7017133	-1.8341271	-10.391108	15.0	15.0	119999	-2.425784	2.0338	2.1325681	-13.980477	2.0670698	0.15017371	580.054559469223
31	-9.6172085	2.3731866	-3.6937292	-17.47677	-5.952389	2.3120368	-2.6214309	-9.517092	15.0	15.0	123999	-2.418315	2.0247886	3.8318725	-13.736773	2.0633638	0.14960456	598.5120053291321
32	-9.485973	2.4464643	-4.158096	-15.966936	-6.741712	2.4653978	-2.408547	-10.283148	15.0	15.0	127999	-2.418228	2.022052	1.2929411	-14.122732	2.06485	0.1482224	617.1039936542511
33	-9.607528	2.3847847	-4.804184	-16.708372	-6.582429	1.609605	-4.0388618	-8.822631	15.0	15.0	131999	-2.3991635	2.0081575	2.701298	-14.234382	2.0549035	0.14685747	635.9128646850586
34	-9.325731	2.436701	-3.2511637	-16.74911	-6.044215	2.485831	-2.057506	-10.766475	15.0	15.0	135999	-2.399357	2.0076318	3.1658583	-13.729685	2.0577075	0.14432806	654.5571053028107
35	-9.361798	2.3919363	-4.732816	-16.347553	-7.35362	2.222376	-3.4537969	-10.839272	15.0	15.0	139999	-2.391779	1.9984978	1.654356	-14.176431	2.0550396	0.14783436	672.9868705272675
36	-9.256884	2.3790698	-4.076655	-15.128456	-6.274148	2.7620828	-1.5889637	-9.598763	15.0	15.0	143999	-2.3650181	1.9866005	1.5851507	-14.439536	2.0312731	0.14018011	691.3578906059265
37	-9.544384	2.4757214	-4.8752933	-19.49399	-7.0578103	3.1765828	-2.3643723	-11.322729	15.0	15.0	147999	-2.3414738	1.9883294	0.65850407	-14.021555	2.0081706	0.13871399	710.0173151493073
38	-9.611303	2.415299	-4.269233	-15.87961	-5.352853	2.2996697	-1.7200226	-8.761478	15.0	15.0	151999	-2.3011153	1.9762309	4.0178237	-13.791999	1.9684383	0.13447289	728.3186378479004
39	-9.576567	2.2654357	-4.1443405	-16.369246	-6.6163683	2.403866	-2.0457473	-9.467957	15.0	15.0	155999	-2.3190615	1.9609472	1.1394551	-14.489883	1.9933237	0.13605604	746.8297839164734
40	-9.574107	2.4514792	-3.8426907	-15.654324	-6.3371696	2.1950188	-3.8807979	-10.574132	15.0	15.0	159999	-2.3079557	1.9548652	4.2995586	-14.977534	1.9846402	0.13383822	765.6859076023102
41	-9.463109	2.309191	-4.1191397	-17.07164	-4.848008	2.4147227	-1.8402224	-9.995675	15.0	15.0	163999	-2.3157902	1.9555756	1.7693704	-14.190648	1.9959834	0.13621311	784.4207696914673
42	-9.341641	2.3291652	-4.358229	-16.786055	-5.6783476	2.3031008	-2.2929778	-9.201476	15.0	15.0	167999	-2.2718441	1.9471469	2.1512196	-14.102517	1.9512815	0.12842129	802.9563674926758
43	-9.158069	2.231004	-3.9669209	-14.41906	-7.3128004	2.3645282	-2.9357822	-10.807718	15.0	15.0	171999	-2.2513943	1.9482055	1.924027	-14.600615	1.9303342	0.12770115	821.4765205383301
44	-9.640099	2.3823314	-4.5464244	-15.703963	-5.500706	2.4956982	-2.063745	-8.874501	15.0	15.0	175999	-2.2339208	1.9338151	3.4979606	-14.045765	1.9160019	0.1239861	840.1628587245941
45	-9.442977	2.3362827	-3.6570597	-15.824948	-6.053276	2.0687556	-2.4320073	-9.128064	15.0	15.0	179999	-2.2346582	1.9319993	1.7312999	-13.664138	1.919366	0.12886862	858.6974363327026
46	-9.2333355	2.479544	-4.1220994	-15.149721	-6.9465585	2.1230056	-2.8805273	-9.610867	15.0	15.0	183999	-2.2385635	1.9271032	1.6811097	-14.036385	1.9260892	0.12751849	877.1812438964844
47	-9.192264	2.3961587	-4.352076	-15.650864	-6.640956	1.2779969	-4.671515	-8.624773	15.0	15.0	187999	-2.2210648	1.9222847	2.1207142	-13.909963	1.9094288	0.12127757	895.6823542118073
48	-9.531168	2.3088517	-4.294662	-15.738529	-6.3810997	2.098722	-3.4329362	-9.407284	15.0	15.0	191999	-2.1979165	1.9183522	7.9036036	-14.273787	1.8863308	0.12225221	914.1790182590485
49	-9.107858	2.1993825	-4.5651126	-14.493096	-6.378034	2.5966778	-2.4078853	-9.328772	15.0	15.0	195999	-2.2011807	1.9103137	5.2809024	-13.8861885	1.8913574	0.12166458	933.2646908760071
50	-9.3377695	2.2774122	-3.7595649	-14.478626	-6.8576136	2.2743323	-3.8659558	-11.351306	15.0	15.0	199999	-2.1945422	1.894603	6.5886526	-13.5900955	1.88869	0.119695686	953.2343900203705
51	-9.48013	2.509889	-3.8935874	-16.41752	-6.881256	2.2466667	-3.0678356	-10.826165	15.0	15.0	203999	-2.1875174	1.8950746	3.8876698	-14.387817	1.8817997	0.12128922	973.2971742153168
52	-9.692539	2.5478942	-4.5207477	-20.841396	-4.7671185	1.2555324	-3.0952516	-7.6587267	15.0	15.0	207999	-2.1535668	1.8908173	3.839964	-14.94743	1.8482786	0.114759706	992.2077250480652
53	-9.262771	2.2939026	-4.775471	-15.395132	-5.763123	2.0432768	-2.6773283	-9.85384	15.0	15.0	211999	-2.1606565	1.8909354	2.8615675	-13.730779	1.8552421	0.114082776	1011.2179811000824
54	-9.433478	2.2298827	-4.3267617	-14.858769	-5.695197	2.0131512	-3.4590786	-9.121168	15.0	15.0	215999	-2.1660104	1.8801597	2.9906578	-13.764841	1.8656831	0.11548143	1030.0833568572998
55	-9.5880995	2.277513	-3.987753	-15.394517	-7.2206216	2.7709434	-3.8501499	-11.649923	15.0	15.0	219999	-2.1563156	1.8807595	5.5384793	-13.429143	1.8554322	0.116993785	1048.6773726940155
56	-9.252922	2.3718042	-3.9125721	-15.50199	-6.0084667	1.1456909	-5.012945	-8.983223	15.0	15.0	223999	-2.1578457	1.8826772	1.84888	-14.19104	1.8596802	0.11368399	1067.2475142478943
57	-9.577692	2.5462952	-4.600922	-21.010773	-5.28178	1.7623414	-2.4821103	-7.3818817	15.0	15.0	227999	-2.126547	1.8799788	2.4041016	-13.983577	1.8287358	0.10941357	1085.7407686710358
58	-9.395016	2.206294	-4.712881	-17.582468	-6.5878944	2.4291189	-3.1377237	-10.492789	15.0	15.0	231999	-2.125227	1.8775038	2.4728498	-14.763685	1.828178	0.11046469	1104.193942308426
59	-9.481832	2.6056194	-3.418352	-25.433443	-5.08327	1.4660618	-3.1377487	-8.08536	15.0	15.0	235999	-2.1190295	1.876963	2.4213233	-13.668543	1.8218688	0.111219175	1122.6548030376434
60	-9.563511	2.334159	-4.8004646	-14.655557	-5.161213	1.2736939	-3.8872037	-8.408827	15.0	15.0	239999	-2.0999732	1.8602532	4.141888	-13.642457	1.8040425	0.106444396	1141.5881855487823
61	-9.515081	2.2844923	-4.046896	-15.615603	-6.050321	1.7832425	-3.7991414	-9.398285	15.0	15.0	243999	-2.1204946	1.862066	4.0512342	-14.972223	1.8299805	0.10986223	1160.1824915409088
62	-9.699817	2.4373932	-4.7218094	-15.700927	-5.962832	1.4805512	-2.4668577	-7.8350954	15.0	15.0	247999	-2.1102285	1.850276	4.7499127	-14.097219	1.8173412	0.109323956	1178.7638399600983
63	-9.328922	2.2947347	-4.1885204	-18.036034	-5.505022	2.0070932	-2.9040098	-8.201968	15.0	15.0	251999	-2.115206	1.8548833	1.5875928	-14.304019	1.8234954	0.108557716	1197.4592118263245
64	-9.236558	2.3176305	-4.2569876	-16.832369	-5.4727273	2.4123204	-1.8146207	-8.670231	15.0	15.0	255999	-2.1031888	1.8497121	2.653758	-14.62546	1.8128653	0.10556908	1216.1975500583649
65	-9.405673	2.308884	-4.762058	-15.5070305	-3.9288895	1.3956167	-1.6279814	-6.3287783	15.0	15.0	259999	-2.0858223	1.8417827	2.667105	-13.495767	1.7968872	0.10582044	1234.7515840530396
66	-9.09821	2.097252	-4.5779862	-14.74947	-5.6202455	2.5895827	-1.9428331	-9.946821	15.0	15.0	263999	-2.0890167	1.8502445	3.9359725	-14.021616	1.8006841	0.10574844	1253.4782030582428
67	-9.409927	2.3953838	-4.532775	-14.967108	-6.6446123	1.8869715	-4.237252	-9.17489	15.0	15.0	267999	-2.0838587	1.8408257	1.7511432	-14.367069	1.7950186	0.10110322	1271.990884065628
68	-9.674148	2.4759834	-4.33999	-15.70305	-6.326318	1.517204	-4.2593164	-9.108748	15.0	15.0	271999	-2.0884106	1.8369673	2.5452483	-14.576291	1.8010606	0.10743472	1290.5990693569183
69	-9.408969	2.4105494	-4.2636743	-15.999634	-5.7735963	2.148122	-2.3737736	-8.78456	15.0	15.0	275999	-2.067445	1.8310395	2.0994813	-14.218903	1.7820337	0.102607846	1308.9564559459686
