Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-26.23058	3.914132	-16.507912	-37.689453	-14.39422	2.5272722	-11.473217	-18.229551	15.0	15.0	3999	-5.779298	2.4865363	2.1522446	-14.679921	5.0035734	0.9893501	4.256681680679321
2	-26.795301	3.922413	-16.595509	-36.141037	-17.091175	4.4997973	-8.621948	-23.072369	15.0	15.0	7999	-6.543777	2.3148499	1.7579547	-15.2694435	5.2566257	1.0742574	9.662416219711304
3	-20.333582	7.4435353	-7.6748247	-36.10206	-10.893191	3.8265643	-6.5655317	-19.040712	15.0	15.0	11999	-5.602243	2.2317648	1.0140183	-14.24234	4.3064847	0.80452675	15.294694900512695
4	-12.59788	4.1170764	-5.4339867	-26.222916	-11.165769	6.7023616	-4.0104275	-26.864885	15.0	15.0	15999	-5.196991	2.3944376	1.740585	-14.643724	4.175955	0.6549035	21.099056720733643
5	-12.430821	4.4141526	-4.249951	-26.957134	-7.2173514	2.290998	-4.460811	-11.417689	15.0	15.0	19999	-4.779873	2.5119884	2.4694233	-15.087135	3.9041855	0.57332754	26.946778059005737
6	-11.207614	3.6035283	-4.9181376	-26.640518	-7.6797895	2.848836	-3.3083656	-12.122559	15.0	15.0	23999	-4.2454886	2.6075048	2.3877833	-14.951412	3.4390097	0.4742154	32.826993465423584
7	-10.564227	2.9748166	-4.3475943	-21.67194	-5.5682716	2.4116576	-2.8256464	-9.588033	15.0	15.0	27999	-3.8110852	2.539938	1.2172668	-14.783573	3.0861344	0.37004527	38.64229702949524
8	-10.31887	3.1291788	-4.858043	-29.36221	-8.098621	2.9190233	-3.2736647	-13.692961	15.0	15.0	31999	-3.5306654	2.4904773	2.1378372	-14.350973	2.8688457	0.3127486	44.54462766647339
9	-10.215205	2.842772	-4.8888426	-26.078987	-6.6356263	2.2852893	-1.8349943	-10.310818	15.0	15.0	35999	-3.2715034	2.462967	2.2638597	-14.901686	2.629088	0.28055063	50.47936391830444
10	-10.537366	2.7659757	-4.7809443	-22.847343	-6.954943	1.7332641	-4.953981	-10.212272	15.0	15.0	39999	-3.1537273	2.3819072	2.6162078	-14.169574	2.5636635	0.25462046	56.48305368423462
11	-10.13071	2.6687903	-4.3048525	-20.109377	-7.0987387	2.0255535	-3.8192859	-10.646035	15.0	15.0	43999	-3.0899684	2.3506312	2.4801438	-13.871725	2.5293047	0.24146818	62.544511556625366
12	-10.036749	2.692236	-4.691194	-18.761133	-5.2857003	2.5038533	-2.1739478	-11.260591	15.0	15.0	47999	-2.9969614	2.3064942	1.5795199	-13.743807	2.4670744	0.22028385	68.58900189399719
13	-9.8884735	2.945983	-4.4072976	-29.513231	-5.87639	1.5970391	-3.9284673	-8.63306	15.0	15.0	51999	-2.9108531	2.2881243	2.2898068	-13.727666	2.399708	0.21226671	74.64196491241455
14	-9.794832	2.6787663	-4.8103538	-18.006712	-5.937815	2.5328152	-3.2101884	-11.698064	15.0	15.0	55999	-2.8119707	2.2679255	3.4087136	-14.048013	2.3174746	0.19676009	80.7083899974823
15	-9.694046	2.3975894	-4.996683	-17.704836	-5.452688	2.3830223	-2.6387029	-9.60432	15.0	15.0	59999	-2.75537	2.2367203	1.7936493	-14.23056	2.276027	0.18802994	86.75070762634277
16	-10.03925	2.7351835	-5.140857	-29.71346	-6.727605	1.4554923	-3.929751	-9.070154	15.0	15.0	63999	-2.712495	2.21734	1.1908779	-13.787277	2.2516956	0.1867969	92.79289269447327
17	-9.880016	2.458525	-5.3935113	-18.54323	-6.9025955	1.9946928	-3.8337433	-9.123659	15.0	15.0	67999	-2.683985	2.2015615	0.8978132	-14.002343	2.2340908	0.18041202	98.82351851463318
18	-9.819118	2.5638337	-5.0119414	-15.702143	-6.63289	2.0674558	-3.6669815	-10.264489	15.0	15.0	71999	-2.6623857	2.1752656	3.2777808	-13.807688	2.2258337	0.17459649	104.93299436569214
19	-9.945492	2.4155552	-4.9410534	-17.710976	-8.004318	2.1599736	-3.0126204	-10.363743	15.0	15.0	75999	-2.6023695	2.1586835	1.0455314	-13.68036	2.1750512	0.16422674	110.95204615592957
20	-9.777792	2.444274	-4.741397	-24.733679	-6.890766	2.3179898	-3.5755053	-10.249527	15.0	15.0	79999	-2.5369701	2.1566975	0.3622393	-13.913951	2.1160157	0.15770207	117.08814525604248
21	-9.737658	2.5599353	-4.186917	-21.908121	-6.5589004	2.123057	-3.6963298	-9.880735	15.0	15.0	83999	-2.4901903	2.1381035	2.7199006	-13.9935665	2.0770066	0.15157501	123.1031801700592
22	-9.536247	2.4825146	-4.0806856	-15.838672	-4.9583597	1.122152	-3.2736523	-7.312863	15.0	15.0	87999	-2.4696414	2.1175373	2.0781684	-14.035144	2.0650737	0.14471707	129.1176474094391
23	-9.603241	2.587767	-4.3227715	-21.159277	-6.462752	2.796414	-1.813847	-12.014695	15.0	15.0	91999	-2.4759738	2.1016214	1.3161559	-13.952677	2.082528	0.14366482	135.1305012702942
24	-9.484435	2.4590778	-4.2529273	-20.355944	-5.823224	2.556839	-2.9073913	-10.44176	15.0	15.0	95999	-2.4502215	2.0943484	1.3241957	-13.938235	2.063403	0.14067832	141.11992621421814
25	-9.767619	2.5337715	-4.791055	-27.660988	-6.5729055	2.0184567	-3.361573	-8.975998	15.0	15.0	99999	-2.4342644	2.0764263	3.0996099	-14.286942	2.0531156	0.14353123	147.14277458190918
