Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-29.73724	5.6010933	-20.924137	-37.966503	-18.956831	4.342543	-12.532316	-24.81706	240.0	240.0	3999	-0.4879539	0.3677835	0.74095386	-1.8851252	0.43782902	0.00082789356	6.144771575927734
2	-28.19638	7.791292	-13.93508	-42.771313	-21.168842	5.4753737	-10.047791	-27.669527	240.0	240.0	7999	-1.2013068	0.5892919	0.49998164	-3.558146	1.1228106	0.0016661796	13.667023181915283
3	-24.696722	8.786281	-10.068695	-36.9727	-15.169838	5.525498	-9.342184	-25.878735	240.0	240.0	11999	-1.4647951	0.8190386	0.9739536	-4.2501154	1.3810569	0.002591591	21.393802642822266
4	-15.611764	5.396902	-8.125268	-30.960033	-21.190586	4.1984673	-13.56864	-28.86042	240.0	240.0	15999	-1.5569952	1.0768046	1.2412412	-5.224778	1.4932815	0.002224898	29.46334433555603
5	-16.289688	6.928822	-7.0387263	-28.041351	-15.221852	4.4304285	-4.7685804	-20.772694	240.0	240.0	19999	-1.6769227	1.2432891	0.85064566	-6.4622164	1.6243498	0.0025958614	37.729719161987305
6	-14.188699	5.143256	-7.230067	-27.671038	-16.098	9.416751	-3.7317824	-35.60093	240.0	240.0	23999	-1.8087089	1.2997172	0.4335884	-6.4727654	1.7575464	0.0030303402	45.998087644577026
7	-18.709408	5.236798	-10.1885	-30.573263	-14.201894	3.6277573	-10.395893	-21.562223	240.0	240.0	27999	-1.8209959	1.2770491	0.6231258	-6.800814	1.7703066	0.003404753	54.12705111503601
8	-15.115965	5.630005	-7.7906938	-25.980806	-15.646944	5.4674444	-6.2172847	-23.491323	240.0	240.0	31999	-1.8702495	1.2921685	0.88070846	-7.015101	1.8251088	0.004327652	62.318878173828125
9	-16.093855	5.7776794	-6.8907423	-25.216059	-14.724095	6.273765	-6.0461507	-21.531963	240.0	240.0	35999	-1.9073468	1.3300732	0.66259086	-6.694439	1.8633409	0.005282073	70.45665788650513
10	-13.576773	4.542592	-6.9660616	-20.661007	-13.325874	5.766167	-5.2386556	-27.653236	240.0	240.0	39999	-1.9200561	1.3706995	1.1512731	-6.816474	1.8756838	0.0056034	78.68287372589111
11	-16.94044	7.065058	-8.312353	-29.087212	-15.911656	6.330892	-6.1521616	-26.072453	240.0	240.0	43999	-1.8239261	1.3553824	2.1116939	-6.832722	1.7775205	0.0057740617	87.14706659317017
12	-12.135451	4.56332	-5.3307486	-21.673359	-13.239943	4.680691	-6.0315766	-19.964489	240.0	240.0	47999	-1.7336329	1.3493689	2.6296282	-6.9081416	1.688114	0.006244934	95.70977878570557
13	-14.179962	4.0840073	-7.2355113	-20.76971	-14.70149	8.577531	-4.3980627	-30.017412	240.0	240.0	51999	-1.6335686	1.350757	2.6866894	-6.6902847	1.5891137	0.006623705	104.29495072364807
14	-14.18503	5.246099	-6.5202117	-26.422785	-11.244633	2.4802675	-9.001937	-16.801525	240.0	240.0	55999	-1.5598058	1.3090355	2.722989	-6.60668	1.5125762	0.0065209786	113.12168288230896
15	-13.076711	2.521023	-9.677467	-16.745369	-9.303806	2.5734665	-6.74257	-13.473678	240.0	240.0	59999	-1.4553657	1.2795131	2.7140472	-6.6383204	1.4099483	0.0061716614	122.24576306343079
16	-15.859483	5.9256687	-7.328852	-27.87779	-12.82859	3.2691145	-7.2125254	-17.505648	240.0	240.0	63999	-1.440246	1.2343322	2.0438192	-6.84068	1.3981458	0.006459096	131.42433667182922
17	-14.162801	7.4973965	-6.5539384	-32.96526	-12.06343	3.6368673	-7.862901	-19.462446	240.0	240.0	67999	-1.4994409	1.1902293	1.5123119	-7.1179047	1.4611104	0.0068893884	140.53774333000183
18	-12.00073	3.5791216	-7.2969923	-22.384245	-13.191244	3.9246013	-6.9908037	-18.910189	240.0	240.0	71999	-1.5497198	1.1924499	1.494085	-7.1407666	1.5102121	0.00732887	149.35210275650024
19	-10.176094	3.4701874	-5.689547	-17.856234	-11.698862	4.016635	-5.1915975	-16.713709	240.0	240.0	75999	-1.544327	1.1948282	2.392965	-7.2232995	1.5066526	0.006353036	157.81557273864746
20	-12.038247	4.5648727	-4.4230847	-23.275122	-9.941958	3.5258005	-4.711894	-14.895265	240.0	240.0	79999	-1.5588312	1.2008684	3.4990878	-7.12669	1.5226269	0.0068370323	166.87527084350586
21	-12.228491	5.69987	-6.3300138	-29.369928	-11.251892	3.9076958	-6.000073	-19.851927	240.0	240.0	83999	-1.5779946	1.198579	3.6329532	-6.9960384	1.5420524	0.0067563374	175.65730333328247
22	-12.137394	5.922474	-6.640323	-30.97393	-13.800229	6.6195807	-6.3436055	-23.86748	240.0	240.0	87999	-1.5515063	1.2107906	2.6045806	-6.9868555	1.5150176	0.006898779	184.3624131679535
23	-12.881171	6.578916	-4.252405	-25.780025	-10.697948	5.177079	-3.3671963	-24.349796	240.0	240.0	91999	-1.550007	1.2175357	2.1823516	-6.885234	1.5170661	0.0068955505	192.85349130630493
24	-11.531441	3.1472669	-7.8682966	-17.897299	-10.928585	6.2166586	-3.4493096	-23.964052	240.0	240.0	95999	-1.5728058	1.2368162	1.555448	-6.9862127	1.5400993	0.007199276	201.30461144447327
25	-12.596785	5.5166664	-7.1564755	-26.32912	-10.873237	5.179871	-6.629058	-22.690266	240.0	240.0	99999	-1.5396055	1.2243172	0.999325	-7.0012164	1.5036846	0.0073983865	209.79940342903137
26	-14.34452	6.7293663	-6.7710323	-32.28774	-14.041548	4.667565	-5.926862	-19.11699	240.0	240.0	103999	-1.5031284	1.2126731	0.8725176	-6.814385	1.4694858	0.006839988	218.15197491645813
27	-10.453627	2.7930284	-5.3697667	-17.049395	-13.67586	8.667266	-2.823695	-31.158384	240.0	240.0	107999	-1.5114244	1.2367041	0.9622284	-6.95057	1.4804349	0.006779032	226.33004879951477
28	-9.368355	4.048165	-5.2027483	-23.8108	-8.378953	3.7529058	-3.9278412	-16.431358	240.0	240.0	111999	-1.5254323	1.2484069	1.1369998	-6.97199	1.4938911	0.00722724	234.44587540626526
29	-10.591299	3.2434168	-5.3155813	-18.037447	-7.9517326	4.3078713	-3.5709465	-17.791374	240.0	240.0	115999	-1.4896973	1.2522041	1.1122627	-6.8180084	1.457527	0.00717989	242.6199426651001
30	-11.633044	4.728508	-4.397844	-19.446623	-9.171085	2.5709152	-5.23945	-13.555483	240.0	240.0	119999	-1.482156	1.2270716	0.87393194	-6.9528413	1.451441	0.007036209	250.68430376052856
31	-9.064262	1.9104253	-5.5083456	-13.060543	-8.137338	4.1121707	-4.2078567	-18.808472	240.0	240.0	123999	-1.4808946	1.2064853	1.8714638	-6.956686	1.4509379	0.0066197175	258.68830823898315
