Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-28.587505	5.21762	-19.547586	-35.43886	-15.405978	5.176178	-9.511931	-26.664495	240.0	240.0	3999	-0.556014	0.34991688	0.5087901	-1.6976918	0.5119948	0.0005872715	12.146296977996826
2	-26.210178	4.7928834	-19.256336	-37.436684	-15.05694	4.976879	-8.949689	-22.521172	240.0	240.0	7999	-1.2824728	0.5714367	0.77165544	-3.2137363	1.2160757	0.0019160919	29.64908003807068
3	-23.564865	7.1022906	-11.583526	-35.82976	-16.700104	3.978818	-10.61739	-21.821295	240.0	240.0	11999	-1.6453664	0.82216835	1.151069	-4.045079	1.5664086	0.0032681108	47.25821781158447
4	-17.254578	4.062606	-9.756961	-23.659006	-15.18577	4.267092	-10.092698	-25.627134	240.0	240.0	15999	-1.5519168	0.9812198	1.1127262	-4.3882895	1.4856702	0.0022118336	65.11185598373413
5	-17.637793	4.6037145	-11.601398	-28.566175	-18.137655	4.2842836	-10.711283	-24.36683	240.0	240.0	19999	-1.6451056	1.0012017	0.5219438	-4.773335	1.5921493	0.0025875638	83.60039019584656
6	-17.85822	6.00935	-10.891587	-30.526083	-17.984903	5.065283	-10.007965	-27.559343	240.0	240.0	23999	-1.7851115	1.0605519	0.8842434	-5.2864213	1.7336004	0.003375379	101.52837419509888
7	-19.585484	4.457647	-11.368281	-29.330685	-17.09766	5.8532777	-9.864806	-28.121607	240.0	240.0	27999	-1.8818953	1.1075975	1.0814027	-5.4534745	1.8318406	0.005063895	119.46896123886108
8	-18.403913	5.416755	-10.462651	-29.064398	-13.988752	4.9176493	-8.166125	-27.643625	240.0	240.0	31999	-1.9374435	1.1035577	1.2236471	-5.53515	1.8854144	0.0064821835	138.02610206604004
9	-17.439259	5.5758915	-8.608953	-29.275238	-14.704114	5.416102	-6.9436584	-25.498125	240.0	240.0	35999	-1.9482956	1.1425226	1.4268632	-5.5987687	1.8978486	0.007841552	155.90766978263855
10	-14.262627	4.304192	-10.295153	-27.695808	-11.976115	2.0399263	-9.018378	-16.713915	240.0	240.0	39999	-1.8558288	1.1878766	2.2485313	-5.6855226	1.8015642	0.0075615263	174.0805060863495
11	-14.349734	3.893957	-8.808749	-23.363613	-12.337644	2.175379	-8.77318	-16.169264	240.0	240.0	43999	-1.7298294	1.1355854	2.557456	-5.734163	1.6783681	0.0062816977	192.6222882270813
12	-17.409744	4.885286	-11.058848	-27.335352	-12.7118025	4.622016	-8.374646	-20.209444	240.0	240.0	47999	-1.722648	1.1148832	2.9547703	-5.811794	1.6766822	0.008154306	210.29721665382385
13	-14.52514	4.7033844	-8.445823	-23.724613	-12.574656	5.50599	-7.4782653	-27.471415	240.0	240.0	51999	-1.7252712	1.1553273	2.7220829	-5.5713935	1.6793131	0.008468383	228.3017201423645
14	-15.067358	3.4918454	-6.765329	-20.235682	-13.831421	4.4426937	-7.5840693	-20.814983	240.0	240.0	55999	-1.7156363	1.2044121	2.2122152	-5.5547	1.6702158	0.008466377	246.90171480178833
15	-15.408067	2.6992433	-8.724842	-20.080656	-10.850993	2.8693717	-6.6570253	-15.244524	240.0	240.0	59999	-1.6996211	1.2006639	1.7224398	-5.6526794	1.6555765	0.008223907	264.9547290802002
16	-14.209094	3.382505	-9.432472	-18.971972	-11.491788	3.2769852	-5.998612	-17.00009	240.0	240.0	63999	-1.7018627	1.1722612	1.5689089	-5.680811	1.6591457	0.00821797	282.96208667755127
17	-14.637581	4.916151	-8.239858	-25.610065	-12.522825	2.6819525	-9.398791	-18.31546	240.0	240.0	67999	-1.7309319	1.108537	1.2580698	-5.7803893	1.691375	0.008010437	301.47975420951843
18	-14.208498	4.642509	-8.591339	-26.273193	-13.555292	5.218268	-7.5415096	-27.652124	240.0	240.0	71999	-1.7744384	1.1288557	2.3132613	-5.7879868	1.7353637	0.008297896	319.628981590271
19	-13.910761	3.4072642	-8.908804	-22.658215	-12.555793	6.260811	-5.5319057	-27.465807	240.0	240.0	75999	-1.777386	1.173543	2.4720461	-6.0067954	1.7382312	0.00831445	337.4053204059601
20	-15.444467	4.735888	-7.5420914	-23.749962	-11.963254	3.2105231	-7.755376	-18.100603	240.0	240.0	79999	-1.7721679	1.1918912	1.9530932	-6.1074686	1.732304	0.008579472	355.81507539749146
21	-12.313697	1.736156	-9.485531	-15.732027	-14.572275	5.179437	-8.254875	-25.004707	240.0	240.0	83999	-1.7375573	1.1872262	1.7266707	-6.207073	1.698238	0.009033764	373.4423794746399
22	-12.933857	3.8846226	-8.087743	-22.905056	-12.1318	4.138272	-7.219115	-21.464361	240.0	240.0	87999	-1.7141469	1.1749171	1.597084	-6.036004	1.6764998	0.008714626	390.9687035083771
23	-13.406948	4.5062027	-8.54148	-22.557718	-13.279184	4.8577247	-7.124496	-20.39496	240.0	240.0	91999	-1.7013807	1.2012262	1.4780629	-5.801038	1.6647329	0.008668791	409.1715545654297
24	-12.868007	2.5639694	-8.96482	-18.831057	-11.29796	2.6501029	-7.938231	-17.683104	240.0	240.0	95999	-1.7228786	1.2185105	1.0503287	-6.111688	1.6876451	0.009421748	426.5959656238556
25	-13.246364	2.3872056	-10.008727	-19.49578	-9.959355	2.0013509	-6.456621	-12.511497	240.0	240.0	99999	-1.7217122	1.1897298	0.74225944	-6.1768684	1.686537	0.009245099	444.1243326663971
26	-12.283505	1.8312478	-8.343693	-16.78623	-10.942407	2.1546462	-5.9444838	-13.4271555	240.0	240.0	103999	-1.7345436	1.1338279	0.7634286	-6.1117435	1.7014312	0.009231336	462.3943157196045
27	-10.60939	2.3528993	-7.1890445	-16.123594	-12.006417	3.4305062	-7.745381	-19.94311	240.0	240.0	107999	-1.7657793	1.0797567	0.3235035	-6.2524037	1.7340436	0.0101569025	479.9163887500763
28	-13.782246	4.9177213	-5.7210193	-25.860634	-12.006875	5.715788	-5.628782	-27.782864	240.0	240.0	111999	-1.797422	1.0612838	0.60748625	-6.0787373	1.7667038	0.010675263	497.9114193916321
29	-10.343545	1.6713718	-6.8361287	-13.117292	-11.252355	3.2790766	-5.543214	-17.273592	240.0	240.0	115999	-1.825655	1.0802275	0.7655066	-6.2378597	1.7943029	0.010256081	515.5671741962433
30	-13.214986	4.757041	-7.7703853	-25.041132	-10.517718	2.4138484	-6.278868	-14.231279	240.0	240.0	119999	-1.8260006	1.1152697	1.2651587	-6.0496216	1.7956746	0.009918326	533.4251918792725
31	-11.716526	3.8044903	-8.105471	-24.893871	-10.051346	3.4700751	-6.1205497	-18.08638	240.0	240.0	123999	-1.8472508	1.1503052	1.5877051	-5.9374933	1.8178338	0.009277891	551.3744785785675
32	-10.744857	2.7692926	-6.9178224	-19.044203	-9.344628	5.0536003	-4.7555532	-23.100866	240.0	240.0	127999	-1.8171104	1.143133	1.346648	-5.8488255	1.7853172	0.010159307	569.0586972236633
33	-11.244399	2.9448254	-5.175488	-16.664251	-10.134462	2.2825744	-5.8067346	-13.57432	240.0	240.0	131999	-1.7875584	1.1294923	1.2510669	-5.761891	1.7566742	0.010008861	586.7428739070892
34	-11.239908	2.9201849	-6.872314	-16.69161	-9.922357	3.4038737	-5.246128	-17.912691	240.0	240.0	135999	-1.7546111	1.1134797	0.83366036	-5.90028	1.7234856	0.009814899	604.9724426269531
35	-11.641405	3.0783625	-7.470248	-20.076405	-12.114844	3.893068	-5.560193	-19.058949	240.0	240.0	139999	-1.7365302	1.1008193	3.9781094	-6.0621805	1.706958	0.01002625	622.5928330421448
36	-12.252754	2.8438022	-5.691869	-16.946672	-9.080814	3.087541	-4.543694	-13.022589	240.0	240.0	143999	-1.727639	1.1053462	1.1937692	-6.093221	1.6973127	0.009870769	640.3210411071777
37	-10.3562355	2.3577998	-6.5208416	-14.597257	-11.583472	4.638156	-6.1743875	-19.443586	240.0	240.0	147999	-1.7043746	1.1038449	1.214812	-5.8321824	1.6748747	0.009816915	658.4220399856567
38	-9.313509	1.824638	-5.8419566	-14.15467	-7.969115	2.950376	-4.685091	-15.255539	240.0	240.0	151999	-1.7020025	1.113807	1.1238259	-6.0781393	1.6734947	0.009165222	676.0172762870789
39	-11.874627	4.6334643	-7.385492	-24.965923	-11.587997	5.464577	-5.7361536	-25.281704	240.0	240.0	155999	-1.6954648	1.0939554	1.3430697	-6.016335	1.666911	0.0094412165	693.5967345237732
40	-9.86504	2.9144983	-6.0141172	-18.769424	-10.679091	4.253487	-5.3176427	-17.848404	240.0	240.0	159999	-1.6799324	1.0684448	1.2961134	-5.8296814	1.652108	0.008990425	712.0252623558044
41	-10.17711	3.6867065	-6.432595	-17.424292	-9.108749	2.3260558	-5.449314	-11.7623	240.0	240.0	163999	-1.6871189	1.0867376	0.75711536	-5.876003	1.6606557	0.009347319	729.8983252048492
42	-10.615753	2.2290237	-6.5632267	-17.030273	-10.904382	4.9002886	-4.15419	-18.8019	240.0	240.0	167999	-1.6863294	1.0888239	0.960099	-6.0393133	1.6591618	0.009431452	747.0715544223785
43	-10.870906	3.0857494	-6.24609	-17.178793	-10.219564	2.4343793	-7.508521	-15.49623	240.0	240.0	171999	-1.6801317	1.080392	0.55241525	-5.807669	1.6533931	0.009221823	765.3146286010742
44	-8.511432	1.4981045	-5.9124813	-11.533844	-8.459543	1.2301505	-7.0707707	-10.416886	240.0	240.0	175999	-1.6707507	1.0862505	0.83514524	-6.043564	1.6443523	0.008780636	783.1474924087524
45	-10.269844	4.311882	-5.984613	-22.770697	-9.934694	3.6544993	-5.4207554	-19.515495	240.0	240.0	179999	-1.671429	1.0921358	0.3980558	-6.0912404	1.6458699	0.0087409355	800.7405033111572
46	-10.351868	3.98849	-6.1316395	-19.95571	-7.6486335	1.7911279	-4.0268	-10.192079	240.0	240.0	183999	-1.655478	1.1120888	0.8412025	-6.2635136	1.6291689	0.008627129	819.039553642273
47	-10.641415	5.3468285	-5.183733	-28.903904	-6.928038	1.3436	-4.4375525	-9.118394	240.0	240.0	187999	-1.626846	1.1237764	1.0463209	-6.151883	1.6003425	0.008280247	836.8184132575989
48	-10.816432	5.24264	-6.2339272	-28.243725	-8.14123	2.1502793	-4.726055	-13.154333	240.0	240.0	191999	-1.6046778	1.1033254	0.81875944	-6.275923	1.577837	0.0089378925	854.448888540268
49	-9.754164	2.777377	-6.111687	-17.585073	-7.858098	2.6057076	-3.7287533	-12.259131	240.0	240.0	195999	-1.5770941	1.0905983	0.81359434	-6.0768585	1.5503925	0.00843718	872.7786500453949
50	-8.751465	2.0843868	-5.9264374	-12.539474	-8.38096	2.1114373	-5.6861463	-12.339638	240.0	240.0	199999	-1.5672209	1.0846002	1.0051513	-6.050415	1.541188	0.008516681	890.7455205917358
51	-7.6764274	1.2966868	-5.751859	-9.993619	-8.572757	4.242683	-4.698144	-18.519327	240.0	240.0	203999	-1.546111	1.0848398	0.6777979	-6.244132	1.5196509	0.007575822	908.582692861557
52	-8.4324665	2.9288201	-5.124834	-18.187551	-7.4285154	2.133449	-3.963439	-9.967284	240.0	240.0	207999	-1.5517054	1.0826706	0.6466626	-6.725855	1.527586	0.008367199	926.905035495758
53	-9.020588	2.8742087	-6.2986994	-18.906853	-6.862265	3.1835139	-3.5789864	-14.837386	240.0	240.0	211999	-1.5660632	1.0908996	0.28261578	-5.683776	1.5421259	0.008060277	944.4393029212952
54	-9.650782	1.955995	-6.923576	-13.677888	-8.342911	2.5581741	-5.5380187	-12.2129755	240.0	240.0	215999	-1.5646628	1.0911062	0.34315336	-5.827467	1.540136	0.008480507	962.25767827034
55	-8.92934	2.425564	-5.4020195	-14.178347	-7.886588	1.9112278	-6.3781343	-12.487588	240.0	240.0	219999	-1.5541232	1.0997106	1.0360672	-5.851737	1.5301243	0.0077294935	980.4393789768219
56	-8.198272	1.6119573	-5.8695893	-11.80912	-8.526138	1.9602909	-6.517367	-12.852108	240.0	240.0	223999	-1.5396117	1.0990255	0.7942445	-6.0495486	1.5152309	0.008445189	998.1888332366943
57	-8.229507	2.0145361	-5.507375	-12.725811	-7.485835	2.4798753	-3.779178	-11.42993	240.0	240.0	227999	-1.5131267	1.0869219	0.9296402	-5.7544045	1.4884814	0.007877494	1015.4828615188599
58	-8.014101	2.376549	-5.3271375	-14.0661335	-6.808276	1.5823034	-4.9215827	-10.771498	240.0	240.0	231999	-1.4944187	1.07704	1.9621043	-5.8515778	1.4707476	0.0075741406	1033.699007987976
59	-9.215714	1.5317153	-6.337497	-11.508759	-6.232051	1.1487226	-4.372236	-8.416413	240.0	240.0	235999	-1.5036114	1.0824986	1.7929746	-6.0509605	1.4805009	0.007172769	1051.385921239853
60	-10.128153	5.0708046	-5.491222	-29.560091	-7.338105	1.7298027	-3.8657224	-10.154079	240.0	240.0	239999	-1.5043175	1.0779887	1.0278683	-5.9025435	1.4815389	0.00764192	1069.1858818531036
61	-10.313543	4.929947	-6.6328545	-28.490866	-6.2345314	0.9872486	-3.8129876	-7.3658524	240.0	240.0	243999	-1.5031731	1.0843967	0.8781675	-6.190168	1.4807825	0.0076022283	1087.287570476532
62	-8.597544	2.0770652	-5.2410893	-13.038987	-8.793635	5.949989	-5.1515136	-25.247364	240.0	240.0	247999	-1.5053923	1.098943	0.7791518	-6.3210516	1.4830061	0.0075298054	1105.0707545280457
63	-8.526643	1.5719166	-5.727016	-13.264068	-8.890235	3.8654532	-4.6058307	-16.680908	240.0	240.0	251999	-1.4925547	1.1072745	1.0891606	-6.069899	1.4701185	0.0075757112	1122.6777694225311
64	-8.872035	1.880339	-6.675582	-14.108483	-7.2777505	1.3492347	-4.6500626	-9.314101	240.0	240.0	255999	-1.48955	1.1176145	0.4234687	-6.148428	1.4677494	0.008056896	1140.7917003631592
65	-7.886203	1.4471581	-5.739541	-10.788923	-6.0428123	1.0968075	-4.6948395	-8.2210455	240.0	240.0	259999	-1.4945937	1.1328827	2.6442618	-6.1207523	1.4736469	0.007802577	1158.4497497081757
