Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-27.521698	4.6699715	-18.01713	-39.305023	-14.493999	6.612659	-6.657049	-22.278322	60.0	60.0	3999	-1.5768187	1.0555571	1.2490846	-5.816095	1.3478545	0.01736609	5.6948769092559814
2	-27.83265	5.067097	-16.96762	-37.934452	-12.687547	6.719968	-4.798898	-25.159803	60.0	60.0	7999	-2.8315995	1.7941678	2.649881	-9.355867	2.4692345	0.03265734	12.95426058769226
3	-21.474155	9.157898	-5.7396297	-38.49207	-14.394155	7.95625	-6.733535	-28.856707	60.0	60.0	11999	-2.6589718	1.9023519	4.9599476	-9.20735	2.2809694	0.03823841	20.448633193969727
4	-12.27487	3.7413514	-5.914756	-27.419844	-11.3801775	3.550666	-7.2695193	-19.201088	60.0	60.0	15999	-2.307091	1.9729297	4.3695946	-8.940463	2.0161397	0.03993994	28.2399742603302
5	-13.124593	4.2756743	-5.911894	-24.890152	-12.966713	4.8972354	-6.7543445	-22.115732	60.0	60.0	19999	-2.317221	1.8485563	4.6824193	-8.989902	2.0676324	0.044743486	36.205859422683716
6	-11.819675	4.683709	-4.7824974	-24.742687	-8.311819	4.3719006	-3.5539463	-16.032621	60.0	60.0	23999	-2.2161016	1.8930964	3.8697486	-9.448858	1.9821143	0.05157154	46.275545597076416
7	-13.596986	5.540978	-4.1990805	-32.590317	-11.069701	3.556157	-5.3060384	-16.06168	60.0	60.0	27999	-2.1623802	1.8454007	2.9209292	-9.628286	1.9479271	0.049070198	56.7635452747345
8	-11.051492	3.6959755	-3.9457626	-22.010836	-11.155839	5.1353664	-5.965927	-19.579895	60.0	60.0	31999	-2.1795785	1.687186	1.4309961	-9.131731	1.9911454	0.045134444	69.05967330932617
9	-10.983821	4.103218	-5.0284677	-27.030527	-9.884946	3.985969	-4.754008	-18.567596	60.0	60.0	35999	-2.1742551	1.6454178	3.1627882	-9.226023	1.9977014	0.046618275	82.77762126922607
10	-11.609993	5.7980657	-3.7339396	-35.08938	-9.620066	3.9570057	-6.196305	-19.88694	60.0	60.0	39999	-2.2420716	1.6362482	1.3428152	-9.984436	2.0790718	0.045790944	96.99662804603577
11	-11.061817	4.293171	-4.7549553	-26.191797	-10.987377	4.5403595	-6.235972	-21.138042	60.0	60.0	43999	-2.2391918	1.6437796	0.7945992	-9.426946	2.0792613	0.04851129	110.98474383354187
12	-10.67857	4.3784056	-4.1376314	-23.77545	-7.8124022	3.428714	-4.250324	-14.170103	60.0	60.0	47999	-2.159874	1.6496205	1.5097203	-9.520023	2.00545	0.047341842	125.1006600856781
13	-10.126123	4.369906	-4.5051537	-26.324024	-9.150042	5.750076	-3.0291848	-22.18211	60.0	60.0	51999	-2.1607122	1.6297184	1.5105278	-9.789023	2.0181875	0.045242276	139.06384587287903
14	-11.028456	6.0396423	-4.061548	-31.171562	-6.541201	3.5039392	-2.9217262	-14.7013235	60.0	60.0	55999	-2.1823773	1.6220778	0.7304125	-9.646417	2.0451672	0.047133293	153.04513835906982
15	-8.893609	3.4884865	-3.0806599	-23.1654	-6.9161057	3.2008176	-2.96136	-12.316965	60.0	60.0	59999	-2.1235487	1.6413078	0.8944543	-9.714461	1.9883517	0.044902243	166.90671229362488
16	-9.455093	4.821168	-3.8996103	-25.575832	-7.036525	3.889087	-2.2901704	-14.315605	60.0	60.0	63999	-2.0425591	1.594883	1.5448213	-9.823862	1.9095685	0.044424415	180.8915069103241
17	-9.287834	3.2509425	-3.6032903	-21.570753	-6.5375223	1.7289656	-4.6084824	-10.098314	60.0	60.0	67999	-2.007497	1.5575498	2.03799	-9.869009	1.8815147	0.044174083	194.88341903686523
18	-10.12022	6.4322042	-3.8500736	-39.992985	-6.6387405	1.3339727	-4.164603	-8.663412	60.0	60.0	71999	-1.999139	1.5299187	1.051496	-9.724538	1.8763852	0.04338182	208.91721057891846
19	-9.599708	3.9487712	-3.737896	-22.965584	-6.609014	2.0499768	-3.780231	-10.279299	60.0	60.0	75999	-1.9228369	1.579539	1.4667988	-9.439021	1.7993746	0.042130057	222.98023128509521
20	-8.168009	2.3616087	-4.123171	-16.354065	-7.6175017	3.5960755	-4.432162	-16.68391	60.0	60.0	79999	-1.8535894	1.6199511	1.1136963	-9.431052	1.7355891	0.039306663	237.12141156196594
21	-9.199062	3.4270244	-3.5822258	-22.075539	-6.8897333	2.2724698	-3.4787958	-11.081036	60.0	60.0	83999	-1.7609208	1.6091231	1.9565122	-9.899123	1.642174	0.038901612	251.20676159858704
