Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-181.73402	28.369232	-115.44309	-258.5912	60.0	0.26699933	0.72286916	1.952918	-1.9037067	4000	-1.5258789e-07	7751.9307	-0.010748528	-1232.7979	2.741959	0.01865727	0.22975	2.0	1.1467094421386719
1	-164.20207	31.351383	-98.38596	-261.04056	60.0	-7.3207746	8.828808	12.832861	-13.183573	8000	1.3351441e-08	5550.293	-0.007313881	-1427.0693	2.747737	0.024872389	0.24175	4.0	2.1211254596710205
2	-131.53064	23.555885	-86.91258	-200.64546	60.0	-17.825771	2.975967	5.009928	-20.016468	12000	6.484986e-08	2300.5554	-0.005769277	-399.79932	2.701867	0.016899131	0.18325	5.0	2.974033832550049
3	-119.61742	20.61248	-83.125275	-164.16234	60.0	-24.364832	0.88378876	-15.791887	-25.040407	16000	8.869171e-08	1370.6007	-0.022748748	-175.98853	2.7323565	0.012371489	0.12575	79.0	4.0450849533081055
4	-114.212616	20.67445	-78.58411	-185.88327	60.0	-27.180988	3.0095246	-5.9407506	-28.726618	20000	5.8174134e-08	1044.3395	-0.0063325665	-116.25305	2.7255864	0.019639786	0.2055	4.0	5.011064767837524
5	-101.93423	14.530998	-79.069046	-160.59325	60.0	-29.2222	4.630215	1.3419489	-31.81513	24000	1.9073486e-08	590.12396	-0.025396062	-71.72485	2.7271044	0.008616196	0.1345	79.0	6.2400994300842285
6	-96.31337	9.595107	-70.45242	-122.96318	60.0	-30.17063	6.3876147	-4.2384434	-34.13887	28000	3.051758e-08	424.60312	-0.029466378	-44.097046	2.6437304	0.009973858	0.16425	79.0	7.4196250438690186
7	-89.346825	10.381915	-67.171844	-124.3297	60.0	-29.139662	7.879991	-5.931009	-35.880184	32000	1.0490417e-08	291.12543	-0.024591038	-34.295227	2.5503318	0.011480408	0.133	79.0	8.708384037017822
8	-88.339325	9.554338	-65.6242	-119.07654	60.0	-29.939188	8.892018	0.38900772	-37.477962	36000	2.2888184e-08	263.89514	-0.02601921	-23.051865	2.5057833	0.01277665	0.1435	79.0	10.00457239151001
9	-84.38922	10.929113	-64.581894	-123.94217	60.0	-29.453348	10.075198	1.6830342	-38.79331	40000	1.9073487e-09	206.92209	-0.03093474	-21.65097	2.4464738	0.013955319	0.1665	79.0	11.250336170196533
