Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-182.6835	27.1436	-117.72353	-239.32382	60.0	0.2425058	0.7383509	1.8755981	-1.8648521	4000	4.2915346e-08	7832.4277	-0.010381455	-1237.7544	2.741959	0.013439167	0.16975	2.0	1.3550059795379639
1	-167.69022	33.39588	-105.57549	-255.32205	60.0	-7.641408	8.03296	12.6427765	-13.146108	8000	-9.536743e-09	5664.605	-0.00737148	-1407.6597	2.7467818	0.02236271	0.212	4.0	2.5074081420898438
2	-130.88063	21.171745	-81.94853	-181.46852	60.0	-18.434835	2.4333758	-0.47483587	-20.241768	12000	1.4305114e-08	2213.6665	-0.0265958	-373.66418	2.7001305	0.00919524	0.144	79.0	3.6911585330963135
3	-126.753654	22.591227	-90.07173	-184.07306	60.0	-24.59974	0.7068259	-18.340038	-25.13193	16000	-1.0967255e-07	1623.5865	-0.02644738	-202.47656	2.686417	0.012801734	0.15025	79.0	4.917211532592773
4	-122.13611	23.259605	-86.68258	-184.87729	60.0	-28.231804	1.5030392	-15.487064	-29.057255	20000	1.4305114e-08	1297.4608	-0.006307277	-132.06458	2.6809177	0.025987297	0.23325	3.0	6.0776355266571045
5	-106.72441	19.09475	-78.13517	-192.36075	60.0	-30.302328	3.712727	-7.0733824	-32.342434	24000	1.8119811e-08	717.44824	-0.00410677	-83.1145	2.683565	0.014006987	0.20675	3.0	7.2350804805755615
6	-100.54242	11.913587	-77.18109	-149.94255	60.0	-30.575764	6.052277	-2.1083498	-34.74779	28000	-9.536743e-09	483.06396	-0.027992008	-50.898743	2.6782038	0.014399543	0.13975	79.0	8.494346857070923
7	-91.30384	8.38533	-73.79893	-112.73715	60.0	-30.44281	7.316533	-8.303228	-36.662167	32000	1.3351441e-08	303.01254	-0.026343213	-38.739136	2.5769107	0.010252289	0.14725	79.0	9.811465740203857
8	-89.207	9.254466	-68.107285	-110.77619	60.0	-30.407576	9.196342	-1.927933	-38.225334	36000	1.8119811e-08	257.6391	-0.02762333	-28.303146	2.51464	0.014796373	0.142	79.0	11.042024374008179
9	-86.96896	10.962777	-67.08234	-125.50483	60.0	-29.05745	11.27032	15.886341	-39.48697	40000	-1.8119811e-08	236.56625	-0.029921	-32.428345	2.4653134	0.014854717	0.161	79.0	12.293133974075317
10	-82.61356	8.502446	-66.31298	-100.98997	60.0	-30.705238	10.444432	-5.601909	-40.611504	44000	3.33786e-08	180.61853	-0.02465654	-16.96341	2.4031754	0.012482939	0.1355	79.0	13.676724195480347
11	-77.13342	8.013915	-59.7325	-99.400955	60.0	-28.794945	10.657978	8.928482	-41.512024	48000	-3.051758e-08	106.26445	-0.026890038	-11.376495	2.2705889	0.008420147	0.14825	79.0	14.96239447593689
12	-76.316444	6.221008	-61.688637	-90.64571	60.0	-28.58949	12.035376	1.0595844	-42.212746	52000	2.7656554e-08	122.953606	-0.030559571	-11.501213	2.2611535	0.012556319	0.16275	79.0	16.171327829360962
13	-71.78137	7.935122	-57.52838	-105.39388	60.0	-27.34022	11.455317	-4.5969296	-42.728016	56000	8.5830685e-09	83.93008	-0.028189475	-9.417671	2.157205	0.012809213	0.14825	79.0	17.47426414489746
14	-68.69739	6.1213307	-57.588932	-90.553734	60.0	-26.896284	12.018683	20.346663	-43.1415	60000	7.629395e-09	64.22864	-0.02916729	-8.333851	2.102013	0.010436575	0.16375	79.0	18.79527997970581
15	-65.0565	6.104981	-52.064926	-87.461296	60.0	-27.002785	11.511771	-5.1150618	-43.44727	64000	-1.2397766e-08	64.50964	-0.026896674	-5.0906334	2.0137699	0.014854953	0.15425	64.0	20.0830295085907
16	-64.030426	5.035246	-51.644653	-78.14883	60.0	-25.063957	11.726387	-2.811165	-43.558796	68000	9.536744e-10	49.62457	-0.030153342	-3.6215782	1.9736409	0.0140568325	0.17675	79.0	21.342906951904297
17	-60.14697	5.6377673	-48.928917	-74.02098	60.0	-23.426836	12.128572	-0.10896307	-43.65409	72000	2.7656554e-08	49.64436	-0.030587953	-5.89003	1.8602766	0.011688906	0.17375	79.0	22.592004537582397
18	-58.517414	5.2466145	-43.868176	-71.06351	60.0	-23.093353	11.075955	5.2599754	-43.653248	76000	2.193451e-08	47.15748	-0.028059255	-5.291321	1.796484	0.013543566	0.154	79.0	23.823100328445435
19	-56.60166	5.899689	-41.31554	-72.232574	60.0	-22.695246	11.036889	-2.010882	-43.64734	80000	-9.536744e-10	38.68704	-0.026853053	-6.5857506	1.6930187	0.007447846	0.1275	79.0	25.06265091896057
20	-53.561836	5.0296545	-40.635986	-66.665115	60.0	-22.003574	10.880894	0.9300244	-43.559395	84000	-7.629395e-09	34.522446	-0.028828591	-4.988289	1.6290847	0.011397296	0.1545	79.0	26.492745876312256
21	-52.443966	4.7089543	-42.861862	-72.321045	60.0	-21.024195	10.480274	4.449827	-43.48991	88000	7.629395e-09	33.389	-0.027537659	-7.152027	1.5756264	0.011509727	0.15175	79.0	27.829023361206055
22	-50.99242	4.426451	-40.62586	-62.34474	60.0	-19.600163	10.661265	4.6857624	-43.404858	92000	-2.2649765e-08	30.822716	-0.027946934	-5.0235767	1.512853	0.011186496	0.14425	79.0	29.082535982131958
23	-49.022484	4.603722	-41.716675	-60.388275	60.0	-20.237894	9.755324	4.2099166	-43.189266	96000	1.7166137e-08	31.021496	-0.022799134	-3.3901443	1.4137355	0.014353237	0.12775	50.0	30.3046293258667
24	-47.30297	4.405528	-39.57477	-57.271427	60.0	-18.883703	9.328904	16.533815	-43.16077	100000	4.768372e-10	23.982159	-0.025188591	-2.272276	1.33952	0.009019016	0.12675	79.0	31.6160888671875
25	-46.021397	4.784858	-38.45688	-59.297043	60.0	-18.40732	9.09002	-2.8331156	-40.82181	104000	1.3351441e-08	22.832628	-0.0048475415	-2.998003	1.3087114	0.004404585	0.02325	2.0	32.70384383201599
26	-46.05505	3.9552932	-38.5161	-56.664646	60.0	-17.801497	9.224105	9.913483	-42.734325	108000	-1.1920929e-08	27.249567	-0.0053759343	-6.637871	1.2876147	0.0066193407	0.04275	2.0	33.80906319618225
27	-46.37058	4.303068	-36.910397	-57.48364	60.0	-18.161636	8.764384	-4.709326	-39.00891	112000	-9.536743e-09	21.083023	-0.004865032	-2.7431984	1.3058835	0.0075964867	0.05875	4.0	35.00387668609619
28	-45.219734	4.3549576	-35.343563	-58.188644	60.0	-17.958231	9.090493	-2.0084565	-43.02215	116000	2.0980835e-08	21.786833	-0.024344807	-1.7045479	1.2750217	0.006853629	0.1255	79.0	36.26689124107361
29	-43.197514	4.300258	-32.542923	-53.151478	60.0	-17.937048	8.532466	-4.472636	-37.456116	120000	5.722046e-09	22.034773	-0.025257338	-3.03648	1.19056	0.009134859	0.156	79.0	37.50799608230591
30	-42.86503	3.9360538	-34.5051	-50.74928	60.0	-16.816154	8.414797	-1.5207793	-36.11052	124000	7.629395e-09	17.696783	-0.0061486717	-2.0080805	1.1673634	0.009463758	0.0705	2.0	38.79858422279358
31	-42.735123	3.9461389	-35.25072	-58.483677	60.0	-17.06079	8.199448	-2.6438441	-36.309307	128000	1.4305115e-09	21.067865	-0.024882467	-5.4277353	1.1484004	0.00903344	0.14975	79.0	40.09776329994202
32	-42.646313	4.4092402	-34.671803	-54.417355	60.0	-16.74275	8.277751	-3.1727989	-34.809544	132000	-1.9073487e-09	18.172495	-0.027304392	-1.2675934	1.0886731	0.012794646	0.1505	79.0	41.32576656341553
